Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features,Number of Results
bella slow cooker,"Informational, Transactional",1900,"0.20,0.10,0.29,0.36,0.43,0.36,0.43,0.54,0.29,1.00,0.81,0.36",23,0.27,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",0
slow cooker is a crock pot,Commercial,1900,"0.52,0.16,0.44,1.00,0.27,0.44,0.66,0.52,0.66,0.80,0.66,0.80",65,0.23,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Buying guide, Related searches, Popular products, Refine",28000000
slow cooker recipe book,Commercial,1900,"0.43,0.13,0.22,0.22,0.65,0.29,1.00,0.22,0.22,0.54,0.81,0.29",27,0.16,"Sitelinks, Image, Video, People also ask, Recipes, Related searches",115000000
slow cooker sale,Transactional,1900,"0.24,0.24,0.18,0.35,0.29,0.24,0.44,0.10,0.81,1.00,0.35,0.03",28,0.26,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",317000000
slow cooker with locking lid,Commercial,1900,"0.16,0.10,0.05,0.04,0.03,0.10,0.10,0.19,0.54,1.00,0.12,0.16",25,0.25,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Recipes, Related searches",96
slow cooker with timer,"Informational, Transactional",1900,"0.27,0.27,0.24,0.24,0.24,0.36,0.52,0.66,1.00,0.80,0.80,0.27",23,0.30,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",36000000
walmart slow cooker,"Navigational, Transactional",1900,"0.18,0.13,0.13,0.18,0.24,0.24,0.24,0.44,0.81,0.81,1.00,0.53",31,0.24,"Sitelinks, Image, Video, Related searches, Popular products",27000000
7 qt slow cooker,"Informational, Transactional",1600,"0.10,0.10,0.18,0.16,0.16,0.07,0.24,0.18,1.00,1.00,0.16,0.13",36,0.26,"Reviews, Image, Image pack, People also ask, Related searches, Popular products",20100000
7 quart slow cooker,"Informational, Transactional",1600,"0.27,0.24,0.52,0.24,0.27,0.66,0.36,0.80,1.00,0.52,0.36,0.20",23,0.26,"Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",92
amazon slow cooker,"Navigational, Transactional",1600,"0.55,0.30,0.01,0.34,0.44,0.44,0.65,1.00,0.16,0.55,0.82,0.44",37,0.24,"Image, Video, People also ask, Related searches, Popular products",84700000
crock pot 6 quart slow cooker,"Informational, Transactional",1600,"0.15,0.15,0.15,0.15,0.10,0.07,0.19,0.24,0.24,1.00,0.19,0.19",34,0.24,"Sitelinks, Reviews, Image, Video, People also ask, Recipes, Related searches, Popular products",1940000
drew barrymore slow cooker,"Informational, Commercial",1600,"0.07,0.07,0.05,0.03,0.05,0.05,0.15,0.24,1.00,0.54,0.19,0.13",26,0.22,"Image pack, Video, People also ask, Recipes, Shopping ads, Ads bottom",67
kitchenaid slow cooker,Transactional,1600,"0.27,0.25,0.25,0.25,0.44,0.36,0.36,0.53,0.67,1.00,0.67,0.67",33,0.31,"Reviews, Image, Video, Related searches, Popular products",5660000
mini slow cooker,Commercial,1600,"0.27,0.24,0.36,0.27,0.24,0.44,0.36,0.52,1.00,0.66,0.36,0.27",26,0.23,"Image, Image pack, Video, People also ask, Related searches, Popular products",579000000
programmable slow cooker,Transactional,1600,"0.29,0.35,0.08,0.05,0.12,0.12,0.18,0.24,0.18,1.00,0.82,0.08",42,0.29,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",95
stainless steel slow cooker,Commercial,1600,"0.16,0.16,0.16,0.10,0.36,0.36,0.36,1.00,1.00,0.80,0.80,0.66",39,0.44,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, Popular products, Shopping ads",52900000
triple slow cooker,"Informational, Transactional",1600,"0.22,0.22,0.20,0.22,0.20,0.20,0.36,0.43,1.00,0.65,0.43,0.43",27,0.26,"Sitelinks, Image, Video, Related searches, Popular products",63700000
5 quart slow cooker,"Informational, Transactional",1300,"0.20,0.34,0.31,0.25,0.34,0.31,0.34,0.66,1.00,0.66,0.45,0.55",21,0.26,"Image, Video, People also ask, Related searches, Popular products",28300000
amazon crock pot slow cooker,"Informational, Transactional",1300,"0.54,0.41,0.30,0.30,0.54,0.36,0.36,0.30,0.66,1.00,0.54,0.07",44,0.24,"Image, Image pack, Video, People also ask, Related searches, Popular products",14300000
cheap slow cooker meals,"Informational, Commercial",1300,"0.29,0.29,0.20,0.65,0.13,0.16,0.10,0.16,1.00,0.20,0.20,0.22",45,0.10,"Sitelinks, Reviews, Image, Video, Recipes, Related searches, Popular products",286000000
crock pot 6 qt slow cooker,"Navigational, Transactional",1300,"0.79,0.24,0.41,0.30,0.20,0.20,0.41,0.54,0.66,0.54,1.00,0.16",38,0.24,"Sitelinks, Image, Video, People also ask, Recipes, Related searches, Popular products",1370000
crock pot programmable slow cooker,"Navigational, Transactional",1300,"0.36,0.36,0.27,0.13,0.13,0.27,0.36,0.44,1.00,0.10,0.36,0.27",28,0.29,"Sitelinks, Image, Image pack, Video, People also ask, Recipes, Related searches, Popular products",71
crock pot slow cooker 7 quart,Commercial,1300,"0.20,0.24,0.44,0.08,0.24,0.20,0.36,0.36,1.00,0.36,0.44,0.20",36,0.26,"Reviews, Image, Image pack, Video, People also ask, Recipes, Related searches, Popular products",2200000
crockpot 6 quart slow cooker,"Informational, Transactional",1300,"0.13,0.27,0.00,0.00,0.00,0.44,0.27,0.52,0.80,1.00,0.66,0.80",50,0.24,"Sitelinks, Reviews, Image, Video, People also ask, Recipes, Related searches, Popular products",709000
hamilton beach stay or go slow cooker,"Informational, Transactional",1300,"0.54,0.41,0.36,0.24,0.36,0.36,0.41,0.54,0.79,1.00,0.54,0.24",21,0.23,"Image pack, Video, People also ask, Knowledge panel, Related searches, Related products",2750000
rival crock pot stoneware slow cooker,"Informational, Transactional",1300,"0.54,0.41,0.36,0.54,0.54,0.41,0.54,0.66,0.79,0.79,1.00,0.41",18,0.26,"Image, Image pack, Video, People also ask, Recipes, Related searches, Popular products",0
slow cooker hamilton beach,"Navigational, Transactional",1300,"0.85,0.69,0.52,0.19,0.69,0.31,1.00,0.69,0.85,0.69,0.46,0.00",22,0.26,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",7650000
slow cooker vs crock pot,"Informational, Commercial",1300,"0.41,0.36,0.36,0.36,0.41,0.41,0.54,0.66,1.00,1.00,0.79,0.41",41,0.09,"Featured snippet, Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches",74800000
slow cooker walmart,"Navigational, Transactional",1300,"0.16,0.13,0.13,0.05,0.10,0.52,0.03,1.00,0.08,1.00,0.66,0.08",35,0.24,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",27200000
1.5 qt slow cooker,"Informational, Transactional",1000,"0.25,0.15,0.12,0.15,0.25,0.15,0.20,0.25,0.66,1.00,0.20,0.25",23,0.24,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Recipes, Related searches, Popular products",3420000
7 qt slow cooker crock pot,"Informational, Transactional",1000,"0.37,0.30,0.54,0.54,0.54,0.67,0.24,1.00,0.30,0.54,0.07,0.02",47,0.26,"Reviews, Image, Image pack, Video, Short videos, People also ask, Recipes, Related searches, Popular products",1110000
breville slow cooker,Transactional,1000,"0.37,0.25,0.25,0.20,0.37,0.31,0.52,0.52,1.00,1.00,0.52,0.37",20,0.29,"Reviews, Image, Video, Short videos, People also ask, Recipes, Related searches, Popular products",4820000
green pan slow cooker,"Informational, Transactional",1000,"0.08,0.13,0.10,0.07,0.13,0.13,0.24,0.44,1.00,0.52,0.52,0.27",31,0.35,"Sitelinks, Image, Video, People also ask, Recipes, Related searches, Popular products, Shopping ads",209000000
ninja foodi slow cooker,Commercial,1000,"0.55,0.36,0.30,0.30,0.55,0.55,0.82,1.00,1.00,1.00,0.82,0.55",43,0.25,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Recipes, Related searches, Popular products",13300000
pressure cooker vs slow cooker,"Informational, Commercial",1000,"0.62,0.44,0.44,0.37,0.44,0.44,0.81,0.81,1.00,0.81,1.00,0.62",38,0.04,"Sitelinks, AI Overview, Video, People also ask, Related searches",108000000
rival slow cooker crock pot,"Informational, Transactional",1000,"0.03,0.02,0.16,0.08,0.04,0.02,0.54,0.43,0.43,1.00,0.22,0.10",32,0.27,"Sitelinks, Reviews, Image, Video, People also ask, Recipes, Related searches, Popular products",79
slow cooker 2 qt,"Informational, Transactional",1000,"0.67,0.54,0.41,0.01,0.20,0.16,0.41,0.41,1.00,0.29,0.09,0.09",21,0.23,"Reviews, Image, Video, People also ask, Recipes, Related searches, Popular products",4890000
slow cooker 6 quart,"Informational, Transactional",1000,"0.52,0.25,0.46,0.25,0.08,0.31,0.19,0.85,0.85,1.00,0.69,0.08",28,0.24,"Reviews, Image, Image pack, Video, Short videos, People also ask, Recipes, Related searches, Popular products",91
slow cooker slow cooker,"Informational, Transactional",1000,"0.68,0.68,0.10,0.16,0.52,0.25,0.84,0.30,0.25,1.00,0.68,0.46",54,0.25,"Sitelinks, Image, Image pack, Video, People also ask, Recipes, Buying guide, Discussions and forums, Related searches, Popular products",500000000
slow cooking cooker,Commercial,1000,"0.08,0.54,0.38,0.31,0.62,1.00,0.31,0.15,0.08,0.31,0.00,0.00",48,0.25,"Sitelinks, Image, Video, Video carousel, People also ask, Recipes, Related searches, Popular products",171000000
target crock pot slow cooker,"Informational, Transactional",1000,"0.13,0.16,0.16,0.16,0.44,0.36,0.04,0.16,0.07,0.52,1.00,0.04",41,0.23,"Image, Video, People also ask, Recipes, Related searches, Popular products",2360000
white slow cooker,"Informational, Transactional",1000,"0.08,0.10,0.08,0.08,0.10,0.20,0.27,0.36,1.00,0.24,0.36,0.24",16,0.38,"Reviews, Image, Image pack, Video, Video carousel, Related searches, Popular products",0
wifi slow cooker,Commercial,1000,"0.13,0.24,0.16,0.16,0.05,0.30,0.34,0.55,1.00,0.44,0.30,0.24",25,0.21,"Sitelinks, Reviews, Image, Video, People also ask, Recipes, Related searches, Popular products",12800000
1.5 quart slow cooker,"Informational, Transactional",880,"0.25,0.15,0.15,0.12,0.25,0.31,0.20,0.45,0.12,1.00,0.12,0.25",23,0.24,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Recipes, Discussions and forums, Related searches, Popular products",4520000
3 pot slow cooker,Commercial,880,"0.24,0.13,0.20,0.20,0.24,0.20,0.24,0.36,1.00,0.66,0.36,0.24",25,0.28,"Sitelinks, Image, Video, People also ask, Recipes, Related searches",295000000
ceramic slow cooker,Commercial,880,"0.36,0.36,0.24,0.24,0.36,0.36,0.55,0.62,0.62,0.81,1.00,0.62",40,0.41,"Image, Video, People also ask, Related searches, People also search, Popular products, Shopping ads",32900000
cooker slow,"Informational, Transactional",880,"0.24,0.00,0.41,0.20,0.66,1.00,0.54,0.00,0.66,0.03,0.03,0.00",33,0.25,"Sitelinks, Image, Image pack, Video, Video carousel, Short videos, People also ask, Recipes, Buying guide, Related searches, Popular products",204000000
crock pot slow cooker sale,Transactional,880,"1.00,0.76,1.00,1.00,1.00,1.00,0.44,0.37,0.07,0.19,0.09,0.06",36,0.26,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",5860000
crock slow cooker,"Informational, Transactional",880,"0.16,0.00,0.00,0.00,0.00,0.54,0.66,1.00,0.54,0.66,0.30,0.00",45,0.23,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Recipes, Buying guide, Related searches, Popular products",175000000
crockpot and slow cooker,Commercial,880,"0.10,0.00,0.22,0.22,0.36,1.00,0.08,0.08,0.04,0.22,0.04,0.03",50,0.23,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Buying guide, Related searches, Popular products",21800000
digital slow cooker,"Informational, Transactional",880,"0.41,0.24,0.10,0.10,0.10,0.20,0.20,0.24,0.41,1.00,0.67,0.41",50,0.26,"Image, Image pack, Video, People also ask, Related searches, People also search, Popular products",74500000
double slow cooker,"Informational, Transactional",880,"0.24,0.24,0.20,0.24,0.24,0.24,0.30,0.41,0.41,1.00,0.24,0.20",26,0.32,"Reviews, Image, Image pack, Video, People also ask, Recipes, Related searches, Popular products",231000000
large crock pot slow cooker,"Informational, Transactional",880,"0.68,0.37,0.25,0.02,0.05,0.20,1.00,0.46,0.25,1.00,0.46,0.07",55,0.27,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Recipes, Discussions and forums, Related searches, People also search, Popular products",63600000
rectangular slow cooker,"Informational, Transactional",880,"0.20,0.24,0.20,0.16,0.20,0.24,0.24,0.30,1.00,0.79,0.30,0.20",22,0.24,"Reviews, Image, Image pack, Video, Recipes, Related searches, Popular products",13100000
rice cooker slow cooker,Commercial,880,"0.37,0.46,0.31,0.31,0.31,0.37,0.25,0.46,0.52,0.37,1.00,0.31",31,0.24,"Sitelinks, Image, Video, People also ask, Recipes, Related searches, People also search, Popular products",200000000
slow cooker brands,Commercial,880,"0.13,0.30,0.41,0.20,0.05,0.16,0.24,0.79,0.20,1.00,0.36,0.36",63,0.23,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",109000000
slow cooker casserole pot,"Informational, Transactional",880,"0.52,0.46,0.46,0.37,0.46,0.52,0.31,0.37,0.20,1.00,0.11,0.02",28,0.08,"Reviews, Image, Image pack, Video, Short videos, People also ask, Recipes, Explore brands, Related searches, Popular products",37100000
slow cooker liner,"Informational, Transactional",880,"0.31,0.31,0.68,0.16,0.20,0.25,0.84,0.68,0.52,0.46,0.37,1.00",43,0.22,"Sitelinks, Reviews, Video, People also ask, Related searches, Popular products, Things to know",11700000
slow cooker lunch box,Commercial,880,"0.54,0.36,0.36,0.36,0.05,0.20,0.08,0.13,1.00,0.36,0.20,0.02",29,0.22,"Sitelinks, Image, Image pack, Video, Short videos, People also ask, Recipes, Related searches",104000000
slow cooker reviews,Commercial,880,"0.20,0.20,0.20,0.16,0.30,0.24,0.30,0.30,0.41,1.00,0.54,0.41",54,0.28,"Sitelinks, Reviews, Image, Image pack, Video, Buying guide, Related searches",291000000
slow cooker sizes,"Informational, Commercial",880,"0.16,0.30,0.25,0.25,0.25,0.30,0.46,0.68,1.00,0.84,0.68,0.46",50,0.20,"Featured snippet, Sitelinks, Video, Video carousel, People also ask, Related searches",56500000
sous vide slow cooker,Commercial,880,"0.44,0.36,0.44,0.36,0.29,0.44,0.55,0.55,0.80,1.00,0.44,0.44",27,0.27,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches",11300000
tasty slow cooker recipes,"Informational, Transactional",880,"0.20,0.30,0.16,0.16,0.24,0.24,0.16,0.20,1.00,0.24,0.13,0.04",47,0.05,"Image, Image pack, Video, People also ask, Recipes, Related searches",190000000
top rated slow cooker,Commercial,880,"0.03,0.08,0.02,0.03,0.13,0.03,0.01,0.03,0.08,1.00,0.18,0.07",68,0.35,"Sitelinks, Reviews, Image, Video, Buying guide, Related searches",562000000
vw slow cooker,Commercial,880,"1.00,0.16,0.10,0.05,0.04,0.01,0.04,0.05,0.04,0.05,0.02,0.27",26,0.00,"Image, Image pack, Video, People also ask, Related searches",63
wolf slow cooker,"Informational, Transactional",880,"0.07,0.07,0.07,0.10,0.10,0.13,0.27,1.00,0.52,0.36,0.27,0.20",27,0.38,"Sitelinks, Reviews, Video, People also ask, Recipes, Related searches, People also search, Shopping ads",23400000
3 crock slow cooker,"Informational, Transactional",720,"0.31,0.25,0.25,0.37,0.20,0.20,0.31,0.31,1.00,0.68,0.52,0.31",25,0.28,"Sitelinks, Reviews, Image, Video, Short videos, People also ask, Recipes, Discussions and forums, Related searches, Popular products",47000000
beautiful slow cooker,"Informational, Transactional",720,"0.11,0.11,0.03,0.01,0.02,0.13,0.16,0.34,1.00,0.34,0.44,0.44",43,0.08,"Sitelinks, Reviews, Video, Related searches, Popular products",144000000
big slow cooker,"Informational, Transactional",720,"0.76,0.76,0.30,0.30,0.24,0.44,0.24,0.56,1.00,1.00,0.44,0.44",58,0.30,"Sitelinks, Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",432000000
