Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features,Number of Results
breville toaster ovens,"Navigational, Transactional",1900,"1.00,1.00,0.55,0.66,0.66,0.41,0.55,0.80,0.80,0.80,0.66,0.55",52,0.48,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",2510000
cosori air fryer toaster oven,"Informational, Transactional",1900,"1.00,0.80,1.00,0.67,0.80,0.67,0.54,0.80,0.80,0.80,0.80,0.54",47,0.26,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",2500000
kitchen aid toaster oven,"Informational, Transactional",1900,"0.67,0.15,0.20,0.67,0.53,0.44,0.36,0.53,0.53,1.00,0.44,0.15",41,0.28,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",6320000
oyster toaster oven,"Navigational, Transactional",1900,"0.80,0.00,0.52,0.67,1.00,0.19,0.24,0.44,0.67,0.80,0.67,0.09",42,0.22,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",86
target toaster oven,"Informational, Transactional",1900,"0.55,0.66,0.66,0.45,0.66,0.55,0.66,0.83,1.00,1.00,0.83,0.45",32,0.26,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",8920000
toaster oven air fryer combo,Commercial,1900,"0.10,0.16,0.29,0.16,0.44,0.29,0.24,0.35,0.44,1.00,0.81,0.66",66,0.35,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",84
toaster ovens at walmart,"Informational, Transactional",1900,"0.67,0.36,0.44,0.53,0.44,0.67,0.53,0.44,0.67,1.00,0.36,0.67",33,0.25,"Reviews, Image, Video, People also ask, Related searches, Popular products",5230000
air fryer vs toaster oven,"Informational, Commercial",1600,"0.44,0.34,0.44,0.44,0.65,0.55,0.65,0.65,1.00,0.65,0.82,0.55",48,0.07,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches",33500000
black and decker air fryer toaster oven,"Informational, Transactional",1600,"0.67,0.67,0.84,0.67,0.84,0.67,0.67,0.67,1.00,1.00,1.00,0.84",22,0.31,"Reviews, Image, Video, People also ask, Related searches, Popular products",86
black decker toaster oven,"Informational, Transactional",1600,"1.00,0.37,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,1.00,0.69",25,0.26,"Image, Image pack, Video, Short videos, People also ask, Related searches, Popular products",96
breville mini toaster oven,"Informational, Transactional",1600,"0.36,0.36,0.36,0.20,0.02,0.29,0.29,0.36,0.22,1.00,0.81,0.36",45,0.37,"Sitelinks, Image, Video, People also ask, Knowledge panel, Related searches, Popular products",94
cuisinart air fryer toaster oven with grill,"Informational, Transactional",1600,"0.27,0.27,0.27,0.27,0.36,0.36,0.36,0.44,0.80,1.00,0.52,0.52",45,0.30,"Image, Video, People also ask, Knowledge panel, Related searches, Popular products",4110000
cusinart toaster oven,"Informational, Transactional",1600,"0.45,0.55,0.55,0.25,0.55,0.55,0.55,0.55,0.65,1.00,0.65,0.13",38,0.30,"Image, Video, People also ask, Related searches, Popular products",5170000
hampton beach toaster oven,"Informational, Transactional",1600,"0.82,0.65,0.55,0.55,0.65,1.00,0.24,0.20,0.13,0.65,0.08,0.05",19,0.28,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",2590000
large toaster oven,Transactional,1600,"0.55,0.44,0.44,0.44,0.44,0.55,0.65,0.55,1.00,0.82,0.55,0.34",42,0.28,"Reviews, Image, Video, People also ask, Related searches, Popular products",57300000
toaster oven black decker,"Informational, Transactional",1600,"1.00,0.83,0.83,0.01,0.16,0.10,0.45,0.55,0.55,0.55,0.00,0.00",27,0.24,"Reviews, Image, Image pack, Video, Short videos, People also ask, Related searches, Popular products",3170000
toaster oven microwave oven combo,Commercial,1600,"0.53,0.44,0.29,0.29,0.35,0.44,0.18,0.10,0.10,0.35,0.04,1.00",28,0.34,"Sitelinks, Image, Image pack, Video, People also ask, Explore brands, Related searches, Popular products",9840000
toaster ovens on sale,Transactional,1600,"0.82,0.65,0.34,0.34,0.34,0.24,0.82,0.30,0.55,1.00,0.65,0.20",42,0.27,"Reviews, Image, Video, People also ask, Related searches, Popular products",36100000
top rated toaster ovens,Commercial,1600,"0.24,0.43,0.04,0.19,0.13,0.05,0.15,0.24,0.24,1.00,0.15,0.28",57,0.42,"Reviews, Image, Video, People also ask, Buying guide, Related searches",36100000
white toaster oven,"Informational, Transactional",1600,"0.67,0.54,0.54,0.54,1.00,0.54,0.54,0.54,0.67,0.67,0.54,0.41",32,0.30,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",97
air fryer and toaster oven,Commercial,1300,"0.34,0.30,0.24,0.24,0.34,0.30,0.34,0.30,0.55,0.82,1.00,0.34",63,0.35,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",47400000
air fryer toaster oven combination,Commercial,1300,"0.46,0.29,0.69,0.46,0.83,1.00,0.83,0.83,0.51,0.46,0.23,0.29",53,0.35,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",4690000
balmuda toaster oven,Commercial,1300,"0.38,0.31,0.31,0.50,0.63,1.00,0.31,0.25,0.63,0.50,0.63,0.75",47,0.32,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",742000
combination microwave toaster oven,Commercial,1300,"0.52,0.44,0.24,0.27,0.36,1.00,0.16,0.27,0.36,0.24,0.24,0.16",35,0.34,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",15600000
cuisinart air fryer toaster oven reviews,Commercial,1300,"0.69,0.46,0.37,0.37,0.69,0.46,0.69,0.51,1.00,0.83,0.69,0.29",43,0.20,"Sitelinks, Reviews, Image, Image pack, Video, Short videos, People also ask, Knowledge panel, Related searches",1320000
cuisinart airfryer toaster oven,"Informational, Transactional",1300,"0.25,0.21,0.17,0.17,0.21,0.21,0.21,0.33,0.79,1.00,0.25,0.17",48,0.28,"Image, Image pack, Video, Short videos, People also ask, Related searches, Popular products",4240000
cuisinart convection toaster oven,"Informational, Transactional",1300,"0.34,0.34,0.34,0.34,0.34,0.45,0.30,0.55,0.83,1.00,0.45,0.34",39,0.31,"Reviews, Image, Video, People also ask, Related searches, Popular products, Things to know",2000000
gourmia air fryer toaster oven,Transactional,1300,"0.42,0.37,0.42,0.26,0.26,0.37,0.37,0.53,0.79,1.00,0.79,0.68",37,0.24,"Image, Video, People also ask, Related searches, Popular products",2160000
hamilton beach air fryer toaster oven,"Informational, Transactional",1300,"0.67,0.67,0.67,0.67,0.51,0.67,0.51,0.84,1.00,1.00,0.84,0.51",29,0.31,"Reviews, Image, Video, People also ask, Related searches, Popular products",1160000
oven toaster small,"Informational, Transactional",1300,"0.82,0.65,0.55,0.00,0.65,1.00,0.24,0.20,0.13,0.08,0.00,0.00",33,0.24,"Sitelinks, Reviews, Image, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products",37200000
panasonic toaster oven,"Navigational, Transactional",1300,"0.62,0.62,0.62,0.55,1.00,0.82,0.62,0.82,1.00,1.00,0.82,0.82",50,0.43,"Sitelinks, Image, Video, Related searches, Popular products",5510000
reheat pizza in toaster oven,"Informational, Commercial",1300,"0.82,1.00,0.62,0.82,0.62,0.62,0.62,0.62,0.55,0.82,0.82,0.55",41,0.01,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",5120000
smallest toaster ovens,Transactional,1300,"0.44,1.00,0.55,0.05,0.34,0.44,0.34,0.65,0.34,0.30,0.00,0.00",33,0.24,"Sitelinks, Reviews, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products",21400000
toaster oven black & decker,"Informational, Transactional",1300,"0.79,0.68,0.79,0.53,0.79,1.00,0.00,0.00,0.16,0.00,0.00,0.00",26,0.26,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",3220000
toaster oven meals,"Informational, Commercial",1300,"0.52,0.46,1.00,0.46,0.46,1.00,0.84,0.52,0.84,0.37,0.68,0.68",36,1.02,"Sitelinks, Reviews, Image, Video, Short videos, Recipes, Related searches",28100000
toaster oven pans,"Informational, Transactional",1300,"0.76,0.76,0.76,0.76,1.00,0.76,0.76,0.76,1.00,1.00,1.00,0.54",27,0.31,"Reviews, Image, Video, People also ask, Related searches, Popular products",19800000
toaster oven reviews,Commercial,1300,"0.82,0.62,0.62,0.62,1.00,0.82,0.82,0.82,1.00,1.00,1.00,1.00",50,0.38,"Reviews, Image, Video, Buying guide, Related searches",37600000
toaster oven vs air fryer,"Informational, Commercial",1300,"0.46,0.31,0.46,0.52,0.52,0.68,0.46,0.68,1.00,1.00,1.00,0.52",43,0.13,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches",0
under cabinet toaster oven,"Informational, Commercial",1300,"0.82,0.82,0.62,0.62,0.62,0.62,0.82,0.82,1.00,0.82,0.82,0.62",26,0.26,"Image, Image pack, Video, People also ask, Related searches, Popular products",89
walmart toaster ovens,"Informational, Transactional",1300,"0.80,0.54,0.41,0.41,0.41,0.41,0.41,0.54,0.54,1.00,0.54,0.07",37,0.25,"Image, Video, People also ask, Related searches, Popular products",5000000
walmart toaster ovens in store,"Informational, Transactional",1300,"1.00,0.83,0.37,0.46,0.37,0.83,0.51,0.83,0.69,0.46,0.37,0.29",32,0.25,"Image, Image pack, People also ask, Related searches, Popular products",3790000
air fryer toaster oven reviews,Commercial,1000,"0.05,0.04,0.07,0.05,0.08,0.10,0.08,0.08,1.00,0.24,0.18,0.10",62,0.40,"Sitelinks, Reviews, Image, Video, People also ask, Related searches",22400000
air fryer with toaster oven,Commercial,1000,"0.65,0.30,0.16,0.13,0.34,0.65,0.11,0.24,0.34,0.55,1.00,0.30",67,0.35,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",46900000
black & decker toaster oven,"Informational, Transactional",1000,"0.56,1.00,0.28,0.61,1.00,0.19,0.61,0.81,1.00,1.00,0.28,0.81",31,0.26,"Image, Video, People also ask, Discussions and forums, Related searches, Popular products",77
black and decker toaster oven air fryer,"Informational, Transactional",1000,"0.77,0.77,0.68,0.77,0.77,0.68,0.68,0.68,1.00,1.00,1.00,0.55",17,0.31,"Reviews, Image, Video, People also ask, Related searches, Popular products",90
black&decker toaster oven,"Informational, Transactional",1000,"0.42,0.79,0.29,1.00,0.42,1.00,0.63,0.21,0.63,0.63,0.54,0.00",41,0.26,"Reviews, Image, Image pack, Video, Short videos, People also ask, Related searches, Popular products",94
convection toaster ovens,Commercial,1000,"0.81,0.56,0.28,0.11,0.56,1.00,0.22,0.44,0.56,0.81,0.81,0.19",47,0.31,"Reviews, Image, Video, People also ask, Related searches, Popular products",7140000
cuisinart air fryer toaster oven stainless steel ctoa-122,"Informational, Transactional",1000,"0.23,0.36,0.18,0.18,0.55,0.23,0.55,0.80,1.00,0.66,0.18,0.18",41,0.24,"Sitelinks, Reviews, Image, Video, Video carousel, People also ask, Knowledge panel, Related searches",46
cuisinart digital airfryer toaster oven,"Informational, Transactional",1000,"1.00,0.36,0.27,0.20,0.15,0.20,0.27,0.15,0.27,0.20,0.12,0.11",47,0.37,"Sitelinks, Image, Image pack, Video, People also ask, Knowledge panel, Related searches, Popular products",92
dash mini toaster oven,"Informational, Transactional",1000,"0.67,0.75,0.67,1.00,0.75,0.75,0.67,0.67,1.00,1.00,0.56,0.56",27,0.22,"Sitelinks, Reviews, Image, Video, People also ask, Knowledge panel, Related searches, Popular products",91
microwave oven with toaster combo,Commercial,1000,"1.00,0.84,0.00,0.00,0.05,0.84,0.07,0.19,0.02,0.65,0.00,0.00",34,0.34,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",5940000
smeg toaster oven,"Informational, Transactional",1000,"0.62,0.55,0.44,0.44,0.55,0.62,0.62,0.62,1.00,0.80,0.80,0.62",23,0.37,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",2610000
tiny toaster oven,Commercial,1000,"0.13,0.36,0.10,0.08,0.08,0.16,0.10,0.13,0.13,1.00,0.20,0.29",30,0.24,"Sitelinks, Reviews, Image, Image pack, Video, Related searches, Popular products",9510000
toaster oven air fryer combination,Commercial,1000,"0.29,0.18,0.68,0.14,1.00,0.86,1.00,0.86,0.36,0.68,0.25,0.54",52,0.35,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",4740000
toaster oven air fryers,Commercial,1000,"0.31,0.37,0.52,0.37,0.52,0.84,0.25,0.37,0.68,1.00,1.00,0.31",65,0.35,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products, Things to know",17500000
toaster oven for sale,Transactional,1000,"1.00,0.36,0.29,0.36,0.62,0.62,0.62,0.62,0.44,0.80,0.62,0.20",31,0.27,"Reviews, Image, Image pack, Video, People also ask, Local pack, Related searches, Popular products",46900000
toaster oven sale,Transactional,1000,"0.20,0.16,0.65,0.10,0.55,0.30,0.20,0.55,1.00,0.25,0.34,0.25",28,0.27,"Reviews, Image, Video, People also ask, Related searches, Popular products",45800000
toaster oven toaster oven,Transactional,1000,"0.76,0.67,0.76,0.76,0.76,0.67,0.67,0.67,1.00,1.00,0.76,0.03",54,0.28,"Reviews, Image, Image pack, Video carousel, People also ask, Buying guide, Related searches, Popular products",59400000
toaster ovens convection toaster ovens,Transactional,1000,"0.51,0.67,0.67,0.67,0.84,0.67,0.23,0.37,0.19,0.84,0.09,1.00",45,0.31,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",23600000
bella toaster oven,"Informational, Transactional",880,"0.45,0.45,0.55,0.30,0.36,0.45,0.24,0.30,1.00,1.00,1.00,0.55",25,0.31,"Reviews, Image, Video, People also ask, Related searches, Popular products",92
combo toaster oven and microwave,Commercial,880,"0.16,0.55,0.01,0.03,0.55,0.44,1.00,0.24,0.16,0.30,0.02,0.05",31,0.34,"Sitelinks, Image, Image pack, Video, People also ask, Discussions and forums, Explore brands, Related searches, Popular products",6000000
commercial toaster oven,"Informational, Transactional",880,"0.67,0.55,0.55,0.55,0.55,0.55,1.00,0.67,0.76,0.55,1.00,0.55",12,1.29,"Image, Video, Discussions and forums, Related searches, Popular products",20700000
cuisenart toaster oven,"Informational, Transactional",880,"0.62,0.02,0.00,0.20,0.62,0.55,0.55,0.62,1.00,1.00,0.55,0.13",38,0.30,"Image, Video, People also ask, Related searches, Popular products",5270000
