Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features,Number of Results
hello kitty rice cooker,"Informational, Transactional",1900,"0.65,0.65,0.55,0.55,0.55,0.55,0.55,0.55,1.00,0.83,0.65,0.55",19,0.18,"Sitelinks, Image, Image pack, Video, Related searches, Popular products",92
kitchenaid grain and rice cooker,Commercial,1900,"0.53,0.18,0.18,0.16,1.00,0.66,0.35,0.24,0.29,0.35,0.35,0.18",46,0.31,"Image, Video, People also ask, Related searches, Popular products",823000
non toxic rice cooker,Commercial,1900,"0.20,0.20,0.22,0.29,0.43,0.54,0.36,0.36,1.00,0.65,0.65,0.54",22,0.53,"Sitelinks, Reviews, Video, People also ask, Related searches, Popular products",4350000
rice cooker and steamer,Commercial,1900,"0.79,0.54,0.66,0.54,0.54,0.79,0.54,0.79,1.00,1.00,0.79,0.24",35,0.26,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",28300000
rice cooker near me,Transactional,1900,"0.79,0.79,1.00,0.79,0.79,1.00,1.00,0.79,0.79,1.00,1.00,1.00",34,0.35,"Reviews, Image, Image pack, Video, People also ask, Local pack, Related searches, Popular products",81
rice cooker sale,Transactional,1900,"0.10,0.13,0.07,0.10,0.19,0.15,0.19,0.24,1.00,0.81,0.66,0.08",35,0.29,"Image, Video, People also ask, Related searches, Popular products",95
10 cup rice cooker,"Informational, Transactional",1600,"0.20,0.20,0.16,0.13,0.22,0.29,1.00,1.00,0.29,0.29,0.22,0.16",22,0.26,"Image, Image pack, Video, People also ask, Related searches, Popular products",150000000
3 cup rice cooker,"Informational, Transactional",1600,"0.67,0.41,0.41,0.54,0.54,0.67,1.00,1.00,1.00,0.79,1.00,0.41",30,0.23,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",151000000
aroma stainless steel rice cooker,"Informational, Transactional",1600,"0.24,0.30,0.34,0.44,1.00,0.44,0.55,0.55,0.82,0.65,0.65,0.55",25,0.24,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",55
cuckoo rice cooker review,Commercial,1600,"0.02,0.02,0.02,0.02,0.03,0.05,0.04,0.03,1.00,0.13,0.36,0.03",37,0.31,"Sitelinks, Reviews, Video, People also ask, Related searches",889000
cuisinart rice cooker,"Informational, Transactional",1600,"0.85,0.69,0.69,0.69,0.85,0.85,0.85,0.69,1.00,1.00,1.00,0.85",13,0.29,"Image, Video, People also ask, Related searches, Popular products",0
electric rice cooker,"Informational, Transactional",1600,"0.54,0.41,0.54,0.54,0.79,1.00,0.41,0.54,1.00,0.79,0.66,0.36",41,0.32,"Image, Video, People also ask, Related searches, Popular products",72900000
korean rice cooker,Commercial,1600,"0.53,0.53,0.53,0.53,0.78,0.67,1.00,0.67,0.67,0.78,0.67,0.53",36,0.27,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",52100000
rice cooker amazon,"Navigational, Transactional",1600,"0.54,0.24,0.67,0.67,0.67,0.54,0.80,0.80,0.80,1.00,0.80,0.54",33,0.24,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",41200000
rice cooker for the microwave,"Informational, Transactional",1600,"0.54,0.43,0.54,1.00,1.00,0.54,0.03,0.03,0.02,0.05,0.00,0.03",25,0.21,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",35300000
rice cooker reviews,Commercial,1600,"0.10,0.08,0.07,0.10,0.08,0.13,0.08,0.24,1.00,0.43,0.28,0.19",47,0.36,"Sitelinks, Reviews, Image, Video, Buying guide, Related searches",126000000
rice cooker stainless steel inner pot,Commercial,1600,"0.44,0.44,0.55,0.34,0.55,0.44,0.65,0.44,0.82,1.00,0.65,0.65",25,0.29,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",90
rice cooker steamer,"Informational, Transactional",1600,"0.34,0.55,0.13,0.44,1.00,0.30,1.00,1.00,0.20,0.20,0.44,0.24",30,0.26,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",23000000
tiger rice cooker costco,"Navigational, Transactional",1600,"0.36,0.66,0.54,0.66,1.00,0.54,0.54,0.79,0.79,0.79,0.66,0.54",31,0.23,"Sitelinks, Reviews, Image, Video, People also ask, Related searches",64
zojirushi rice cooker 3 cup,"Informational, Transactional",1600,"0.54,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.79,1.00,0.37,0.54",50,0.31,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",1450000
2 cup rice cooker,"Informational, Transactional",1300,"0.41,0.41,0.54,0.41,0.79,0.79,0.54,0.36,0.79,0.66,1.00,0.41",41,0.23,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",158000000
brown rice cooker,Commercial,1300,"0.08,0.07,0.07,0.08,0.29,0.29,0.29,0.20,1.00,0.54,0.65,0.36",48,0.23,"Sitelinks, Reviews, Video, People also ask, Recipes, Related searches, Things to know",242000000
commercial rice cooker,Commercial,1300,"1.00,1.00,1.00,0.81,0.81,0.81,0.81,1.00,1.00,0.81,1.00,0.81",23,0.86,"Image, Video, People also ask, Related searches, Popular products",21500000
cuchen rice cooker,"Informational, Transactional",1300,"0.24,0.24,0.20,0.20,1.00,0.80,0.20,0.27,0.36,0.36,0.27,0.24",10,0.38,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",64
elephant rice cooker,Commercial,1300,"0.30,0.30,0.30,0.20,0.34,0.30,0.34,1.00,0.55,0.34,0.44,0.44",49,0.17,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",74
imusa rice cooker,Commercial,1300,"0.62,0.81,0.55,0.62,0.62,0.81,0.81,1.00,0.81,1.00,1.00,0.81",32,0.19,"Sitelinks, Video, People also ask, Related searches, Popular products",68
kitchenaid rice and grain cooker,"Informational, Transactional",1300,"0.36,0.08,0.10,0.08,1.00,0.65,0.16,0.16,0.16,0.29,0.29,0.22",48,0.29,"Image, Video, People also ask, Knowledge panel, Related searches, Related products",750000
mini mini rice cooker,"Informational, Transactional",1300,"0.29,0.24,0.29,0.24,0.29,0.35,0.35,0.10,0.10,0.29,0.00,1.00",34,0.22,"Image, Image pack, Video, People also ask, Related searches, Popular products",57300000
pampered chef rice cooker,"Informational, Transactional",1300,"1.00,0.76,0.76,0.76,1.00,0.76,0.76,0.76,1.00,0.76,1.00,0.76",35,0.23,"Video, People also ask, Knowledge panel, Related searches, Popular products",3000000
rice cooker deals,"Informational, Transactional",1300,"0.07,0.03,0.10,0.08,0.08,0.10,0.07,0.10,1.00,0.43,0.19,0.10",27,0.29,"Sitelinks, Reviews, Image, Image pack, Video, Discussions and forums, Related searches, Popular products",295000000
rice cooker with stainless steel,"Informational, Transactional",1300,"0.44,0.03,0.04,0.44,0.30,0.20,0.44,1.00,0.30,0.55,0.55,0.24",17,0.28,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",41700000
rice cooker with steamer,"Informational, Transactional",1300,"0.34,0.20,0.16,0.55,0.65,0.44,1.00,0.16,0.65,0.55,0.34,0.30",38,0.26,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",18000000
wirecutter rice cooker,Commercial,1300,"0.25,0.52,0.52,0.52,0.68,0.52,0.68,0.84,0.84,1.00,0.84,0.68",56,0.48,"Video, People also ask, Related searches",428000
zojirushi neuro fuzzy rice cooker,"Informational, Transactional",1300,"0.10,0.10,0.08,0.10,0.10,0.08,0.13,0.35,0.66,1.00,0.18,0.10",50,0.36,"Sitelinks, Image pack, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Related products",120000
1 cup cooked rice,"Informational, Commercial",1000,"0.62,0.55,0.55,0.44,0.55,0.62,0.44,0.62,0.55,0.44,1.00,0.81",39,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Things to know",270000000
4 cup rice cooker,"Informational, Transactional",1000,"0.56,0.56,0.68,0.68,1.00,0.77,1.00,0.68,0.77,0.77,1.00,0.44",24,0.22,"Image, Image pack, Video, People also ask, Related searches, Popular products",153000000
aroma rice and grain cooker,"Informational, Transactional",1000,"0.45,0.45,0.55,0.55,0.62,0.62,0.55,0.45,0.62,1.00,0.81,0.62",35,0.17,"Image, Video, Short videos, People also ask, Related searches, Popular products",90
aroma rice cooker instruction manual,"Informational, Transactional",1000,"0.30,0.44,0.24,0.30,0.20,0.34,0.11,0.24,0.30,0.30,1.00,0.13",13,0.02,"Sitelinks, Video, People also ask, Related searches",850000
asian rice cooker,Commercial,1000,"0.45,0.62,0.45,0.45,0.81,0.62,0.81,1.00,0.81,0.81,0.62,0.55",45,0.23,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",76200000
better rice cooker,Commercial,1000,"0.55,0.44,0.55,0.34,0.55,1.00,0.34,0.07,0.02,0.05,0.03,0.03",70,0.41,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",153000000
black and decker cooker rice,Commercial,1000,"0.37,0.67,0.67,0.84,0.67,0.84,0.30,0.37,0.19,0.67,0.09,1.00",40,0.23,"Image, Image pack, Video, Short videos, People also ask, Recipes, Related searches, Popular products",2590000
comfee rice cooker,"Informational, Transactional",1000,"0.46,0.46,0.52,0.46,0.68,0.52,0.46,0.52,0.68,0.84,1.00,0.68",32,0.23,"Sitelinks, Image, Video, Short videos, People also ask, Related searches, Popular products",83
cooks rice cooker,"Informational, Transactional",1000,"0.62,1.00,0.55,1.00,0.55,0.13,1.00,0.62,1.00,0.20,0.81,1.00",18,0.01,"Reviews, Image, Video, People also ask, Related searches, Popular products",96200000
gundam rice cooker,"Informational, Commercial",1000,"0.00,0.00,1.00,0.01,0.02,0.01,0.00,0.01,0.01,0.03,0.00,0.00",24,0.00,"Sitelinks, Reviews, Image, Image pack, Video, Related searches",49
kitchen aid rice cooker,Commercial,1000,"0.52,0.05,0.05,0.10,0.52,0.44,1.00,0.13,0.13,0.20,0.16,0.20",46,0.27,"Image, Image pack, Video, People also ask, Related searches",6240000
large rice cooker,Commercial,1000,"0.55,0.55,0.67,0.55,0.55,0.67,1.00,0.67,1.00,1.00,0.76,0.67",28,0.28,"Image, Image pack, Video, People also ask, Related searches, Popular products",200000000
low carb rice cooker,Commercial,1000,"0.67,0.67,0.55,0.67,0.76,0.67,0.76,1.00,1.00,0.76,1.00,0.67",20,0.24,"Sitelinks, Reviews, Image, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products",55900000
persian rice cooker,"Informational, Transactional",1000,"0.55,0.36,0.30,0.45,0.62,1.00,0.81,0.62,1.00,0.81,0.81,0.36",24,0.27,"Image, Video, Short videos, People also ask, Recipes, Related searches, Popular products",4550000
rice cooker small,Commercial,1000,"0.62,0.62,0.55,0.44,0.62,0.62,0.62,0.62,1.00,0.80,0.80,0.62",42,0.21,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",98
rice cooker with stainless steel pot,Commercial,1000,"0.37,0.37,0.37,0.31,0.68,0.46,0.52,0.68,1.00,0.84,0.84,0.52",21,0.28,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",25600000
stainless steel pot rice cooker,"Informational, Commercial",1000,"0.16,0.01,0.05,0.05,0.22,0.81,0.10,1.00,0.10,0.08,0.05,0.29",21,0.28,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",36400000
steamer basket for aroma 3 cup rice cooker,Commercial,1000,"1.00,0.00,0.00",24,0.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",1480000
toshiba cooker rice,"Informational, Commercial",1000,"0.20,0.54,0.36,0.29,0.54,1.00,0.00,0.00,0.00,0.00,0.00,0.00",29,0.25,"Sitelinks, Reviews, Image, Image pack, Video, Short videos, People also ask, Recipes, Discussions and forums, Related searches, Popular products",4960000
20 cup rice cooker,"Informational, Transactional",880,"0.45,0.55,0.45,0.30,0.30,0.45,0.45,0.62,1.00,0.45,0.45,0.30",25,0.27,"Image, Image pack, Video, People also ask, Related searches, Popular products",127000000
6 cup rice cooker,"Informational, Transactional",880,"0.56,0.68,0.68,0.56,0.68,0.56,0.68,0.56,1.00,0.77,1.00,0.56",9,0.23,"Sitelinks, Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",144000000
aroma digital rice cooker,Commercial,880,"0.67,0.55,0.55,0.55,0.67,0.55,0.55,0.55,0.55,0.76,1.00,0.55",44,0.20,"Image, Image pack, Video, People also ask, Related searches, People also search, Popular products, Shopping ads",67
black decker rice cooker,"Informational, Transactional",880,"0.67,0.56,0.76,0.44,0.76,0.67,1.00,0.56,0.76,0.76,0.76,0.56",36,0.21,"Image, Video, People also ask, Related searches, Popular products",85
ceramic bowl rice cooker,Commercial,880,"0.36,0.30,0.30,0.30,0.66,1.00,0.24,0.30,0.16,0.36,0.16,0.07",10,0.35,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",21100000
instant rice cooker,"Informational, Transactional",880,"0.25,0.25,0.52,0.52,1.00,0.52,0.25,0.37,0.37,0.46,0.46,0.20",26,0.30,"Image, Image pack, Video, People also ask, Related searches, People also search, Popular products, Shopping ads",162000000
pink rice cooker,"Informational, Transactional",880,"0.72,0.88,0.88,0.72,1.00,0.88,0.72,0.88,1.00,1.00,1.00,0.88",25,0.22,"Image, Image pack, Video, People also ask, Related searches, Popular products",98
rice cooker aroma,"Informational, Transactional",880,"0.42,0.42,0.63,0.42,0.42,0.54,0.42,0.42,0.63,1.00,0.63,0.42",32,0.14,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",18900000
rice cooker ninja,"Informational, Transactional",880,"0.46,0.37,0.68,0.37,0.52,0.31,0.11,0.25,0.25,0.46,0.37,1.00",36,0.23,"Image, Video, Short videos, People also ask, Recipes, Related searches, Popular products",30700000
rice cooker review,Commercial,880,"0.08,0.00,0.02,0.04,0.04,0.16,0.07,0.10,1.00,0.52,0.80,0.07",46,0.36,"Sitelinks, Reviews, Image, Image pack, Video, Short videos, People also ask, Buying guide, Related searches",47200000
rice cooker slow cooker,Commercial,880,"0.37,0.46,0.31,0.31,0.31,0.37,0.25,0.46,0.52,0.37,1.00,0.31",31,0.24,"Sitelinks, Image, Video, People also ask, Recipes, Related searches, People also search, Popular products",200000000
rice cooker stainless steel,Commercial,880,"0.05,0.03,0.10,0.07,0.29,0.03,0.08,0.16,0.29,0.22,1.00,0.29",24,0.28,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, Popular products, Shopping ads",43400000
rice cooker target,"Navigational, Transactional",880,"0.30,0.18,0.36,0.45,0.30,0.45,0.61,0.61,0.55,0.61,1.00,1.00",39,0.21,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",12500000
rice cooker tiger,"Informational, Transactional",880,"0.24,0.24,0.24,0.20,0.67,0.05,0.30,0.30,0.67,0.55,0.41,1.00",33,0.22,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",90
rice cooker white,"Informational, Transactional",880,"0.68,0.46,0.31,0.31,0.68,0.31,0.25,0.31,0.11,0.37,1.00,0.07",25,0.05,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",277000000
