Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
cosori electric kettle,Transactional,2400,"0.35,0.18,0.29,0.29,0.29,0.35,0.24,0.44,0.53,1.00,0.66,0.53",40,0.33,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",603000
cuisinart electric kettle,Transactional,2400,"0.54,0.43,0.36,0.36,0.54,0.65,0.54,0.54,1.00,1.00,0.81,0.81",36,0.30,1.00,"Image, Video, People also ask, Related searches, Popular products, Things to know",2110000
electric kettle amazon,"Navigational, Transactional",2400,"0.66,0.66,0.66,0.44,0.44,0.36,0.52,0.66,0.66,1.00,0.80,0.36",41,0.28,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",17400000
electric kettle walmart,"Navigational, Transactional",2400,"0.54,0.54,0.43,0.43,0.54,0.36,0.54,0.43,0.65,1.00,0.65,0.54",40,0.19,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches",3810000
glass electric kettle,Commercial,2400,"0.35,0.35,0.24,0.18,0.24,0.24,0.35,0.35,0.53,0.81,1.00,0.24",40,0.25,1.00,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products, Things to know",38300000
good electric kettle,Commercial,2400,"1.00,0.07,0.02,0.03,0.01,0.00,0.02,0.36,0.01,0.04,0.01,0.04",62,0.43,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products, Things to know",52000000
hamilton beach electric kettle,"Informational, Transactional",2400,"0.36,0.43,0.43,0.29,0.36,0.43,0.43,0.54,0.54,1.00,0.65,0.43",25,0.26,1.00,"Image, Image pack, Video, People also ask, Related searches, Popular products",1920000
how to clean electric kettle,Informational,2400,"0.54,0.54,0.54,0.43,0.36,0.54,0.43,0.54,0.54,0.65,1.00,0.81",31,0.02,0.22,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches",26800000
small electric kettle,"Informational, Transactional",2400,"0.67,0.52,0.52,0.44,0.52,0.52,0.52,0.67,0.80,1.00,0.80,0.67",34,0.20,1.00,"Sitelinks, Image, Video, Related searches, Popular products",52300000
breville electric kettle,Transactional,1900,"0.55,0.55,0.30,0.55,0.55,0.65,0.45,0.55,0.83,1.00,1.00,0.83",33,0.31,1.00,"Image, Video, Related searches, Popular products",2360000
gooseneck electric kettle,Commercial,1900,"0.18,0.18,0.24,0.18,0.16,0.18,0.29,0.35,1.00,1.00,0.35,0.24",61,0.44,1.00,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products, Things to know",1220000
stainless steel electric kettle,Commercial,1900,"0.44,0.36,0.36,0.36,0.36,0.36,0.44,0.44,1.00,0.80,0.80,1.00",39,0.29,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",20400000
electric glass tea kettle,Commercial,1600,"0.44,0.55,0.44,0.34,0.24,0.30,0.44,0.55,0.82,1.00,0.82,0.44",38,0.25,1.00,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",17200000
electric kettle chefman,"Informational, Transactional",1600,"0.43,0.29,0.22,0.22,0.16,0.36,0.16,0.16,0.22,1.00,0.36,0.03",27,0.17,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products, Things to know",398000
electric kettle target,"Navigational, Transactional",1600,"0.85,0.68,1.00,1.00,0.37,1.00,0.52,0.52,0.85,0.85,1.00,0.46",40,0.25,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",93
electric kettles for boiling water,Commercial,1600,"0.36,0.22,0.29,0.13,0.36,0.00,0.22,0.43,0.54,1.00,0.43,0.04",60,0.31,1.00,"Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products",3500000
electric tea kettle reviews,Commercial,1600,"0.05,0.03,0.03,0.04,0.03,0.03,0.03,0.04,1.00,0.54,0.44,0.08",50,0.37,0.52,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",11800000
electric tea kettle with temperature control,Commercial,1600,"0.53,0.80,0.27,0.44,0.25,0.36,0.16,0.27,1.00,0.25,0.67,0.80",50,0.37,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",5070000
electrical kettle,Transactional,1600,"0.55,1.00,0.80,0.55,0.55,0.55,0.41,0.30,1.00,0.80,0.66,0.05",58,0.34,1.00,"Image, Image pack, Video, People also ask, Related searches, Popular products",81100000
fellow electric kettle,"Informational, Transactional",1600,"0.27,0.27,0.27,0.24,0.36,0.24,0.36,0.36,0.66,0.80,1.00,0.44",39,0.52,1.00,"Image, Video, People also ask, Related searches, Popular products",2790000
electric gooseneck kettle,Commercial,1300,"0.41,0.34,0.34,0.34,0.28,0.34,0.34,0.41,0.79,1.00,0.55,0.55",57,0.42,1.00,"Sitelinks, Reviews, Image, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products",1350000
electric kettle reviews,Commercial,1300,"0.07,0.05,0.03,0.04,0.03,0.03,0.04,0.07,0.19,1.00,0.10,0.12",60,0.37,0.52,"Sitelinks, Reviews, Image, Video, Buying guide, Related searches",26200000
electric kettle temperature control,Commercial,1300,"0.16,0.20,0.10,0.36,0.53,0.67,0.36,0.16,0.25,0.36,1.00,0.53",54,0.37,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",12200000
electric tea kettle amazon,"Navigational, Transactional",1300,"0.84,0.84,0.84,0.46,0.52,0.52,0.52,1.00,0.68,0.84,0.84,0.68",57,0.28,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",5270000
electric tea kettle target,"Navigational, Transactional",1300,"0.34,0.34,0.44,0.44,0.30,0.24,0.20,0.20,0.44,1.00,0.82,0.30",39,0.25,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",91
hamilton beach electric tea kettle,"Informational, Transactional",1300,"0.27,0.44,0.27,0.27,0.13,0.24,0.20,0.27,0.36,1.00,0.52,0.52",25,0.26,1.00,"Image, Image pack, Video, People also ask, Related searches, Popular products",1190000
how to clean an electric kettle,Informational,1300,"0.67,0.51,0.47,0.47,0.47,0.67,0.67,0.51,0.67,0.67,0.84,1.00",34,0.02,0.22,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches",0
kitchenaid electric kettle,"Informational, Transactional",1300,"0.46,0.52,0.69,1.00,0.52,0.52,0.69,1.00,1.00,1.00,0.85,0.69",39,0.29,1.00,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",3100000
mini electric kettle,Commercial,1300,"0.68,0.52,0.68,0.46,0.46,0.68,0.68,0.68,0.84,1.00,1.00,0.68",31,0.26,1.00,"Image, Video, Related searches, Popular products",32100000
ovente electric kettle,"Informational, Transactional",1300,"0.54,0.41,0.36,0.41,0.36,0.54,0.41,0.54,0.54,1.00,0.66,0.41",40,0.22,1.00,"Image, Image pack, Video, People also ask, Related searches, Popular products",65
portable electric kettle,Commercial,1300,"0.68,0.52,0.52,0.52,0.46,0.52,0.68,0.52,1.00,1.00,0.84,0.52",34,0.24,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",100
stainless steel electric tea kettle,"Informational, Transactional",1300,"0.27,0.27,0.16,0.16,0.44,0.24,0.13,0.27,0.52,1.00,0.44,0.36",38,0.29,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",11200000
travel electric kettle,Commercial,1300,"0.84,0.84,0.68,0.68,0.46,0.84,0.68,0.84,0.68,0.84,1.00,0.46",36,0.24,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",25600000
water kettle electric,Transactional,1300,"0.42,0.42,0.42,0.42,0.53,0.53,0.42,0.42,1.00,1.00,0.78,0.67",59,0.34,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",65900000
allintitle:electric kettle with temperature control,"Informational, Transactional",1000,"0.30,0.30,0.23,0.23,0.23,0.30,0.09,0.19,0.06,0.23,0.00,1.00",25,0.37,1.00,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",10200
amazon electric tea kettle,"Navigational, Transactional",1000,"0.68,0.52,0.68,0.31,0.31,0.20,0.37,0.20,0.68,1.00,0.46,0.37",64,0.28,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",4850000
aroma electric kettle,"Informational, Transactional",1000,"0.62,0.62,0.81,0.55,0.44,0.55,0.55,0.62,0.81,1.00,0.81,0.62",26,0.19,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",82
electric kettle for hot water,Commercial,1000,"0.54,0.79,0.42,0.33,0.42,0.63,0.79,0.79,1.00,0.79,0.08,0.04",58,0.31,1.00,"Image, Video, People also ask, Related searches, Popular products",0
electric kettle sale,Transactional,1000,"0.04,0.05,0.05,0.01,0.05,0.05,0.05,0.10,1.00,0.53,0.16,0.10",28,0.27,1.00,"Image, Video, Related searches, Popular products",47400000
electric tea kettle walmart,"Navigational, Transactional",1000,"0.62,0.62,0.55,0.36,0.36,0.45,0.55,0.45,0.82,1.00,0.55,0.55",36,0.23,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",1450000
electric tea kettle with infuser,"Informational, Transactional",1000,"0.36,0.30,0.36,0.20,0.30,0.30,0.30,0.41,0.66,1.00,0.66,0.41",38,0.31,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",96
electrical water kettle,Transactional,1000,"0.04,0.20,0.04,0.05,0.05,0.22,0.22,0.22,0.54,1.00,0.43,0.00",60,0.31,1.00,"Reviews, Image, Image pack, Video carousel, People also ask, Related searches, Popular products",48200000
hot water kettle electric,Transactional,1000,"0.45,0.55,0.55,0.36,0.45,0.61,0.55,0.55,1.00,1.00,0.82,0.61",61,0.32,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",66300000
how to clean electric tea kettle,Informational,1000,"1.00,0.68,1.00,0.46,0.25,0.37,0.25,0.52,0.46,0.46,0.37,0.31",31,0.02,0.22,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",13600000
kettle electric,"Informational, Transactional",1000,"0.54,0.63,0.54,0.63,0.63,0.63,0.54,0.54,0.79,1.00,1.00,0.54",58,0.33,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",103000000
kettle water electric,Transactional,1000,"0.05,0.67,0.55,0.67,0.67,1.00,0.24,0.00,0.24,0.55,0.00,0.03",60,0.31,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",45300000
stagg ekg electric kettle,Informational,1000,"0.19,0.30,0.41,0.24,0.30,0.41,0.54,0.41,0.67,1.00,0.67,0.54",12,0.77,1.00,"Sitelinks, Video, People also ask, Knowledge panel, Discussions and forums, Related searches",596000
stainless electric kettle,"Informational, Transactional",1000,"0.34,0.30,0.24,0.30,0.13,0.16,0.30,0.20,0.44,1.00,0.24,0.30",43,0.29,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",28700000
ceramic electric kettle,"Informational, Transactional",880,"0.55,0.55,0.30,0.36,0.36,0.30,0.45,0.55,0.82,1.00,1.00,0.82",33,0.28,1.00,"Image, Video, People also ask, Related searches, Popular products",100
clean electric kettle,Informational,880,"0.55,0.45,0.45,0.45,0.45,0.45,0.55,0.62,0.81,0.81,1.00,0.55",35,0.02,0.32,"Featured snippet, Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches",26600000
costco electric kettle,Navigational,880,"0.10,0.06,0.69,0.52,0.00,0.85,0.69,0.69,1.00,0.19,0.85,0.85",31,0.23,1.00,"Sitelinks, Image, Video, Related searches",4040000
electric boiling water kettle,"Informational, Transactional",880,"0.08,0.67,0.55,0.67,0.67,1.00,0.24,0.02,0.05,0.12,0.00,0.08",57,0.31,1.00,"Image, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products",17700000
electric electric kettle,Transactional,880,"0.00,0.44,0.25,0.31,0.63,1.00,0.31,0.06,0.06,0.00,0.00,0.00",59,0.34,1.00,"Reviews, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products",64200000
electric kettle online amazon,"Navigational, Transactional",880,"0.23,0.51,0.51,0.51,0.67,0.67,0.23,0.37,0.19,0.84,0.00,1.00",45,0.28,1.00,"Image, Image pack, Video, People also ask, Related searches",13700000
electric water kettle walmart,"Informational, Transactional",880,"0.73,1.00,0.88,0.88,0.49,0.73,0.49,0.88,0.88,0.88,1.00,0.49",42,0.19,1.00,"Image, Image pack, Video, People also ask, Related searches, Popular products, Shopping ads",1670000
haden electric kettle,"Informational, Transactional",880,"0.45,0.36,0.45,0.30,0.36,0.36,0.45,0.81,0.81,1.00,0.81,0.36",32,0.29,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",97
mini electric tea kettle,"Informational, Transactional",880,"0.76,0.55,0.36,0.06,0.45,0.55,0.67,0.76,1.00,1.00,1.00,0.67",34,0.26,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products, Shopping ads",12900000
stagg electric kettle,"Informational, Transactional",880,"0.24,0.20,0.20,0.15,0.20,0.15,0.20,0.24,1.00,0.79,0.36,0.24",29,0.65,1.00,"Sitelinks, Video, People also ask, Knowledge panel, Related searches, Popular products",763000
top electric kettle,Commercial,880,"0.44,0.30,0.12,0.16,0.09,1.00,0.09,0.23,0.09,0.56,0.19,0.07",61,0.43,1.00,"Image, Image pack, Video, Buying guide, Discussions and forums, Related searches, People also search, Popular products, Shopping ads",61700000
water heater kettle electric,"Informational, Transactional",880,"1.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00",53,0.31,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",11700000
white electric kettle,"Informational, Transactional",880,"0.68,0.68,0.44,0.44,0.56,0.56,0.56,0.56,0.77,1.00,1.00,0.56",21,0.34,1.00,"Image, Image pack, Video, Related searches, Popular products",71300000
wirecutter electric kettle,Transactional,880,"0.55,0.55,0.36,0.45,0.45,0.45,0.55,0.76,1.00,1.00,0.76,0.67",72,0.47,1.00,"Image, Video, Related searches",92
amazon electric kettle,"Navigational, Transactional",720,"0.88,0.59,0.32,0.49,0.59,0.73,0.73,0.59,0.73,0.49,1.00,0.73",40,0.28,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",14900000
bodum electric tea kettle,"Informational, Transactional",720,"0.76,0.37,0.76,0.37,0.44,0.44,0.37,0.67,0.44,0.67,0.44,1.00",41,0.25,1.00,"Image, Image pack, Video, People also ask, Related searches, Popular products, Shopping ads",90
boil water electric kettle,"Informational, Transactional",720,"1.00,0.52,0.17,0.08,0.46,0.03,0.08,0.52,0.52,0.68,0.00,0.02",55,0.31,1.00,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products, Things to know",4580000
breville electric tea kettle,"Informational, Transactional",720,"0.46,0.54,0.37,0.24,1.00,0.37,0.37,0.46,0.76,0.68,0.54,0.37",34,0.31,1.00,"Image, Video, People also ask, Related searches, Popular products",1200000
cuisinart cordless electric kettle,Commercial,720,"0.56,0.56,0.37,0.44,0.56,0.44,0.30,0.44,0.76,1.00,0.56,0.30",32,0.29,1.00,"Image, Image pack, Video, Short videos, People also ask, Discussions and forums, Related searches, People also search, Popular products, Shopping ads",463000
cuisinart electric water kettle,"Informational, Transactional",720,"1.00,0.10,0.30,0.30,0.30,0.56,0.25,0.30,0.56,0.77,0.30,0.10",28,0.30,1.00,"Image, Image pack, Video, People also ask, Discussions and forums, Related searches, People also search, Popular products",1020000
cute electric kettle,Commercial,720,"0.55,0.36,0.45,0.24,0.45,0.55,0.36,0.55,1.00,0.76,0.67,0.55",54,0.25,1.00,"Sitelinks, Reviews, Image, Video, Related searches, Popular products",7580000
descale electric kettle,Informational,720,"0.55,0.55,0.45,0.45,0.36,0.45,0.45,0.55,0.67,0.67,1.00,0.76",29,0.11,0.41,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches",460000
electric kettle costco,Navigational,720,"1.00,0.55,0.29,0.07,0.44,0.20,0.44,0.02,0.29,1.00,0.44,0.20",33,0.23,1.00,"Sitelinks, Image, Video, People also ask, Related searches",4040000
electric kettle near me,Transactional,720,"0.45,0.36,0.45,0.36,0.36,0.55,0.45,0.36,0.55,1.00,0.62,0.45",46,0.60,1.00,"Image, Image pack, Video, People also ask, Local pack, Related searches, Popular products",82
electric kettle review,Commercial,720,"0.07,0.03,0.03,0.04,0.03,0.03,0.04,0.03,1.00,1.00,0.55,0.05",62,0.37,0.52,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Buying guide, Related searches",32800000
portable electric tea kettle,"Informational, Transactional",720,"0.37,0.31,0.31,0.25,0.13,0.31,0.25,0.37,0.46,1.00,0.37,0.37",34,0.24,1.00,"Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",94
small electric tea kettle,Commercial,720,"0.54,0.46,0.37,0.37,0.54,0.68,0.46,0.68,0.76,1.00,1.00,0.54",33,0.23,1.00,"Sitelinks, Image, Video, Related searches, Popular products",18700000
walmart electric kettle,"Navigational, Transactional",720,"0.45,0.45,0.45,0.18,0.30,0.25,0.45,0.55,0.45,0.77,1.00,1.00",45,0.19,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products, Shopping ads",3690000
zwilling electric kettle,"Informational, Transactional",720,"0.36,0.30,0.24,0.24,0.45,0.36,0.55,0.67,0.76,1.00,0.55,0.36",21,0.33,1.00,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",1030000
bella electric kettle,"Informational, Commercial",590,"0.49,0.49,0.49,0.49,0.32,0.39,0.49,0.59,0.88,1.00,1.00,0.59",25,0.29,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",80
copper electric kettle,"Informational, Transactional",590,"0.30,0.24,0.20,0.20,0.20,0.36,0.67,1.00,1.00,0.76,0.55,0.30",19,0.45,1.00,"Sitelinks, Image, Image pack, Video, Explore brands, Related searches, Popular products",100
cordless electric kettle,Commercial,590,"0.48,0.39,0.39,0.39,0.32,0.32,0.48,0.59,1.00,1.00,0.88,0.59",31,0.28,1.00,"Sitelinks, Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products, Shopping ads",7090000
cuisinart kettle electric,"Informational, Transactional",590,"0.37,0.37,0.30,0.30,0.30,0.30,0.25,0.37,0.68,1.00,0.68,0.37",38,0.30,1.00,"Image, Video, People also ask, Discussions and forums, Related searches, People also search, Popular products, Shopping ads",2180000
cuisinart perfectemp cordless electric kettle,"Informational, Transactional",590,"0.36,0.30,0.30,0.24,0.30,0.30,0.30,0.36,0.55,1.00,0.36,0.24",49,0.29,1.00,"Image, Image pack, Video, Short videos, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search",88
electric glass kettle,"Informational, Transactional",590,"0.59,0.45,0.32,0.45,0.23,0.59,0.59,0.59,1.00,0.45,0.73,0.91",27,0.25,1.00,"Image, Video, People also ask, Related searches, Popular products",39200000
electric hot water kettle,Commercial,590,"0.59,0.59,0.37,0.37,0.30,0.48,0.37,0.48,0.89,1.00,1.00,0.74",61,0.34,1.00,"Sitelinks, Image, Video, People also ask, Related searches, People also search, Popular products",64100000
electric kettle retro-style white glossy,Commercial,590,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",8,0.00,0.00,"Image, Image pack, Video, People also ask, Related searches, Popular products, Shopping ads",49
electric kettle water heater,"Informational, Transactional",590,"1.00,0.68,0.11,0.37,0.20,0.37,0.20,0.05,0.52,0.11,0.07,0.52",54,0.31,1.00,"Reviews, Image, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products",14500000
electric kettle with infuser,Commercial,590,"0.45,0.54,0.45,0.24,0.54,0.54,0.24,0.67,0.82,1.00,0.67,0.82",34,0.31,1.00,"Sitelinks, Reviews, Image, Image pack, Video, Discussions and forums, Related searches, Popular products",92
electric travel kettle,"Informational, Transactional",590,"0.72,0.72,0.39,0.59,0.32,0.48,0.39,0.39,1.00,0.88,0.88,0.39",35,0.24,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",26000000
electric water heater kettle,"Informational, Transactional",590,"0.76,0.67,0.55,0.24,0.30,0.10,0.10,0.20,0.36,1.00,0.55,0.16",57,0.31,1.00,"Image, Image pack, Video, People also ask, Related searches, Popular products",14300000
fellow kettle electric,"Informational, Transactional",590,"0.20,0.16,0.20,0.20,0.16,0.20,0.36,0.36,0.62,1.00,0.62,0.45",42,0.45,1.00,"Sitelinks, Video, People also ask, Knowledge panel, Related searches, Popular products",2900000
