Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD)
meat thermometer for hamburgers,Commercial,590,"0.00,0.00,0.00,0.00,0.00,0.36,0.27,1.00,0.00,0.01,0.02,0.07",31,0.00
meater plus thermometer,"Informational, Transactional",590,"0.26,0.16,0.21,0.37,0.42,0.26,0.21,0.16,0.53,1.00,0.16,0.16",55,0.95
oxo meat thermometer,"Informational, Transactional",590,"0.30,0.30,0.30,0.36,0.36,0.30,0.30,0.30,0.76,1.00,0.36,0.30",33,0.52
polder meat thermometer,"Informational, Transactional",590,"0.36,0.30,0.36,0.36,0.36,0.30,0.36,0.30,1.00,1.00,0.45,0.30",12,0.58
weber meat thermometer,"Informational, Transactional",590,"0.39,0.39,0.48,0.72,0.59,0.59,0.48,0.48,1.00,1.00,0.59,0.32",33,0.72
wireless meat thermometer reviews,Commercial,590,"0.07,0.07,0.08,0.10,0.08,0.05,0.07,0.10,1.00,1.00,0.30,0.20",61,0.90
bbq meat thermometer,Commercial,480,"0.24,0.36,0.67,1.00,0.55,0.82,0.44,0.36,0.82,1.00,0.55,0.67",41,1.05
infrared meat thermometer,Commercial,480,"0.26,0.32,0.47,0.39,0.26,0.47,0.59,0.47,0.47,1.00,0.47,0.32",26,0.78
kitchen meat thermometer,Commercial,480,"0.59,0.48,0.48,0.48,0.48,0.48,0.59,0.26,0.59,1.00,0.48,0.48",52,0.65
lietus wireless meat thermometer,"Informational, Transactional",480,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",16,0.00
meat cooking thermometers digital,Transactional,480,"0.16,0.16,0.13,0.11,0.24,0.30,0.16,0.13,0.03,0.11,0.13,1.00",40,0.70
meat thermometer digital,Transactional,480,"0.38,0.25,0.38,0.63,0.13,0.50,0.25,0.63,0.50,1.00,0.63,0.50",65,0.88
meat thermometer for grill,Commercial,480,"0.29,0.44,0.67,0.67,1.00,0.29,0.36,0.67,1.00,1.00,0.44,0.54",46,1.05
meat thermometer with probe,Commercial,480,"0.30,0.20,0.16,0.09,0.06,0.20,0.25,0.30,0.25,1.00,0.04,0.00",66,1.07
remote meat thermometer,Transactional,480,"0.30,0.20,0.30,0.30,0.20,0.20,0.30,0.25,0.68,1.00,0.37,0.25",55,0.80
wifi meat thermometers,Commercial,480,"0.44,0.53,0.80,0.80,1.00,0.67,0.36,0.80,1.00,0.80,1.00,0.02",46,0.81
wireless thermometer meat,"Informational, Transactional",480,"0.08,0.15,0.24,0.30,0.30,0.11,0.06,0.08,1.00,0.55,0.55,0.00",50,0.77
candy thermometer vs meat thermometer,"Informational, Commercial",390,"0.20,0.20,0.20,0.20,0.16,0.20,0.20,0.30,0.36,1.00,0.30,0.24",39,0.47
cooked meat thermometer,Commercial,390,"0.36,0.36,0.44,0.44,0.36,0.29,0.36,0.36,1.00,1.00,0.44,0.67",62,1.02
digital meat thermometer amazon,Transactional,390,"0.30,0.30,0.30,0.45,0.30,0.30,0.45,0.36,0.82,1.00,0.36,0.30",40,0.66
digital thermometer for meat,Commercial,390,"0.16,0.07,0.37,0.30,0.20,0.20,0.25,0.25,1.00,0.56,0.16,0.00",45,0.70
good digital meat thermometer,Commercial,390,"0.88,0.17,0.21,0.47,0.59,0.32,0.17,0.17,0.08,1.00,0.32,0.11",71,0.73
grill meat thermometer,Transactional,390,"0.43,0.43,0.67,0.80,0.53,0.33,0.53,0.33,0.67,1.00,0.27,0.33",39,0.86
meat grill thermometer,Transactional,390,"0.08,0.30,0.68,0.43,0.35,0.35,1.00,0.14,1.00,1.00,0.54,0.00",51,1.05
meat thermometer for oven,Commercial,390,"0.07,0.13,0.11,0.03,0.13,0.11,0.13,0.20,0.52,1.00,0.08,0.08",62,0.63
meat thermometer reviews,Commercial,390,"0.13,0.05,0.13,0.10,0.16,0.10,0.13,0.20,1.00,0.76,0.45,0.30",58,0.58
meat thermometers wireless,"Informational, Transactional",390,"1.00,0.54,0.67,0.04,0.67,0.00,0.43,0.67,0.28,0.17,0.02,0.07",48,0.94
meater wireless thermometer,"Informational, Transactional",390,"0.19,0.15,0.24,0.24,0.30,0.24,0.15,0.15,0.44,1.00,0.24,0.15",44,0.93
thermapen meat thermometer,"Navigational, Transactional",390,"0.52,0.65,0.65,0.81,0.81,0.81,0.65,0.52,1.00,1.00,0.35,0.23",50,0.97
traeger meat thermometer,"Informational, Transactional",390,"0.16,0.16,0.20,0.36,0.20,0.16,0.16,0.16,0.55,1.00,0.24,0.24",22,0.76
typhur meat thermometer,Commercial,390,"0.02,0.02,0.01,0.03,0.04,0.03,0.03,0.03,0.16,1.00,0.24,0.07",29,1.60
wirecutter meat thermometer,Commercial,390,"0.21,0.21,0.32,0.39,0.39,0.32,0.39,0.32,1.00,0.88,0.48,0.26",68,1.13
digital meat thermometers,Commercial,320,"0.23,0.23,0.27,0.67,0.33,0.43,0.33,0.27,0.43,1.00,0.43,0.53",67,0.70
good meat thermometer for smoking,Commercial,320,"0.26,0.21,0.32,0.48,0.17,0.17,0.26,0.26,0.39,1.00,0.17,0.21",56,1.14
govee meat thermometer,"Informational, Transactional",320,"0.23,0.19,0.23,0.36,0.29,0.23,0.23,0.23,0.81,1.00,0.44,0.23",34,0.49
home depot meat thermometer,"Navigational, Transactional",320,"0.36,0.28,0.44,0.54,0.44,0.36,0.36,0.36,1.00,1.00,0.44,0.28",34,0.48
instant read digital meat thermometer,Commercial,320,"0.12,0.12,0.23,0.29,0.36,0.44,0.54,0.36,1.00,1.00,0.36,0.66",60,0.62
internal meat thermometer,Transactional,320,"0.20,0.16,0.16,0.20,0.16,0.16,0.16,0.16,1.00,0.55,0.16,0.16",71,0.72
meat thermometer bluetooth,Commercial,320,"0.25,0.25,0.25,0.19,0.44,0.31,0.13,0.13,1.00,0.63,0.19,0.13",57,0.96
meat thermometer for grilling,Commercial,320,"0.15,0.15,0.15,0.44,0.44,1.00,0.36,0.15,0.36,0.65,0.18,0.15",38,1.05
meat thermometers at walmart,"Informational, Transactional",320,"0.12,0.36,0.29,0.29,0.36,0.19,0.54,1.00,0.54,0.67,0.29,0.44",35,0.20
meat thermometers for grilling,Commercial,320,"0.19,0.09,0.23,0.67,0.44,0.54,0.44,0.19,0.67,1.00,0.54,0.28",48,1.05
meater thermometer review,Commercial,320,"0.08,0.08,0.10,0.16,0.20,0.08,0.10,0.10,0.24,1.00,0.30,0.10",42,1.10
oven meat thermometer walmart,"Informational, Transactional",320,"0.45,0.30,0.30,0.24,0.30,0.24,0.19,0.30,0.45,1.00,0.15,0.30",35,0.18
target meat thermometer,"Navigational, Transactional",320,"0.31,0.21,0.21,0.25,0.31,0.13,0.13,0.25,0.71,1.00,0.48,0.48",41,0.38
the meater thermometer,"Informational, Transactional",320,"0.02,0.02,0.05,0.11,0.05,0.05,0.07,0.31,1.00,0.31,0.07,0.04",62,1.08
thermopro digital meat thermometer,"Informational, Transactional",320,"0.29,0.23,0.29,0.36,0.29,0.36,0.23,0.23,0.54,1.00,0.54,0.23",29,0.57
weber grill meat thermometer,"Informational, Transactional",320,"0.29,0.29,0.36,0.36,0.44,0.36,0.19,0.19,0.54,1.00,0.54,0.07",30,0.72
amazon meat thermometers,"Navigational, Transactional",260,"0.27,0.82,0.82,0.82,0.52,0.66,0.27,0.34,1.00,0.43,1.00,0.00",63,0.68
beat meat thermometer,Commercial,260,"0.00,0.04,0.01,0.26,0.01,0.02,0.21,0.17,0.88,1.00,0.39,0.00",62,0.78
bluetooth meat thermometer for smoking,Transactional,260,"0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00",38,0.91
can i use candy thermometer for meat,"Informational, Commercial",260,"0.17,0.17,0.17,0.17,0.17,0.21,0.17,0.26,0.21,1.00,0.17,0.21",28,0.00
digital instant read meat thermometer,Transactional,260,"0.06,0.15,0.28,0.23,0.44,0.54,0.44,0.44,1.00,1.00,0.23,0.66",64,0.62
digital meat thermometer walmart,"Informational, Transactional",260,"0.29,0.29,0.29,0.23,0.36,0.29,0.29,0.23,0.66,1.00,0.36,0.29",40,0.29
good cook meat thermometer does it contain mercury,"Informational, Commercial",260,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",23,0.00
ir meat thermometer,Commercial,260,"0.35,0.54,0.66,0.66,0.66,0.66,0.81,0.81,0.43,1.00,0.43,0.22",22,0.78
leave meat thermometer,Commercial,260,"0.12,0.16,0.10,0.07,0.07,0.10,0.12,0.12,0.56,1.00,0.00,0.16",26,0.65
