Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
drew barrymore air fryer,Commercial,12100,"0.54,0.44,0.54,0.44,0.36,0.54,1.00,1.00,0.81,1.00,0.66,0.54",41,0.09,"Sitelinks, Reviews, Video, People also ask, Discussions and forums, Related searches, Popular products"
microwave air fryer combo,Commercial,12100,"0.81,0.81,0.67,0.67,1.00,0.81,0.81,1.00,1.00,1.00,1.00,1.00",43,0.36,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
ninja air fryer oven,"Informational, Transactional",12100,"0.23,0.36,0.54,0.44,0.67,0.54,0.36,0.67,0.81,1.00,0.67,0.54",43,0.25,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products, Things to know"
nuwave air fryer,"Informational, Transactional",12100,"0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.50,0.80,1.00,0.50,0.50",31,0.27,"Image, Video, People also ask, Related searches, Popular products, Things to know"
sur la table air fryer,Commercial,12100,"1.00,0.66,0.66,0.82,0.82,0.82,0.66,0.55,0.66,0.82,0.82,0.43",21,0.40,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products"
air fryer walmart,"Navigational, Transactional",9900,"0.81,0.67,0.67,0.67,0.67,0.67,0.67,0.44,1.00,1.00,0.81,0.53",35,0.19,"Sitelinks, Image, Video, People also ask, Related searches, Popular products"
brats air fryer,Commercial,9900,"0.13,0.66,1.00,0.16,0.16,0.54,0.10,0.13,0.36,0.29,0.36,0.10",41,0.00,"Sitelinks, Image, Image pack, Video, People also ask, Recipes, Related searches"
bratwurst air fryer,"Informational, Commercial",9900,"0.19,0.66,0.66,1.00,0.19,0.54,0.81,0.29,0.10,0.24,0.16,0.08",41,0.00,"Sitelinks, Image, Image pack, Video, People also ask, Recipes, Related searches"
breville smart oven air fryer,"Informational, Transactional",9900,"0.29,0.29,0.24,0.24,0.29,0.36,0.44,0.54,1.00,0.54,0.29,0.24",59,0.51,"Sitelinks, Video, Short videos, People also ask, Knowledge panel, Related searches, Shopping ads"
small air fryer,Transactional,9900,"0.67,0.82,0.67,0.67,0.67,0.67,0.82,0.82,1.00,0.82,0.82,0.67",52,0.23,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products"
walmart air fryer,"Navigational, Transactional",9900,"0.55,0.45,0.55,0.45,0.69,0.45,0.34,0.55,0.69,1.00,0.55,0.55",35,0.64,"Sitelinks, Image, Video, People also ask, Related searches, Popular products"
air fryer ninja,"Informational, Transactional",8100,"0.66,0.44,0.66,0.44,0.29,0.54,0.44,0.54,0.66,1.00,0.81,0.66",50,0.22,"Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
bella pro series air fryer,Commercial,8100,"0.66,0.55,0.66,0.66,0.82,0.66,0.55,0.55,0.55,1.00,0.66,0.55",27,0.22,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products"
ninja air fryer max xl,"Informational, Transactional",8100,"0.83,0.69,0.55,0.45,0.45,0.45,0.45,0.55,0.83,1.00,0.83,0.69",53,0.29,"Sitelinks, Video, People also ask, Knowledge panel, Related searches, Related products"
philips air fryer,"Informational, Transactional",8100,"0.66,0.55,0.55,0.55,0.82,0.66,1.00,1.00,1.00,0.82,0.82,0.55",52,0.27,"Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
air fryer cod,"Informational, Commercial",6600,"0.81,0.67,0.54,0.54,0.81,0.81,0.67,0.67,0.67,0.44,0.67,1.00",45,0.00,"Image, Video, People also ask, Recipes, Related searches"
emeril air fryer,"Informational, Transactional",6600,"0.67,0.54,0.54,0.42,0.54,0.42,0.54,0.54,1.00,0.83,0.54,0.42",44,0.28,"Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
gourmia air fryer reviews,Commercial,6600,"0.23,0.20,0.20,0.16,0.36,0.36,0.44,0.54,1.00,0.67,0.36,0.23",29,0.20,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, People also ask, Related searches"
gourmia digital air fryer,"Informational, Transactional",6600,"0.23,0.20,0.12,0.16,0.16,0.02,0.30,0.67,0.54,1.00,0.67,0.44",48,0.21,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products"
instant vortex air fryer,Commercial,6600,"1.00,0.80,0.65,0.80,1.00,0.80,0.65,0.80,0.80,0.80,0.80,0.65",29,0.23,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products, Things to know"
kalorik air fryer,"Informational, Transactional",6600,"0.81,0.67,0.67,0.53,0.67,0.67,0.67,0.67,1.00,0.81,0.67,0.53",36,0.22,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
mini air fryer,Transactional,6600,"0.66,0.66,0.66,0.66,0.81,0.81,0.66,0.81,0.66,1.00,0.81,0.66",25,0.20,"Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
ninja double stack air fryer,"Informational, Transactional",6600,"0.01,0.19,1.00,0.54,0.66,0.44,0.36,1.00,0.81,1.00,0.66,0.44",49,0.30,"Sitelinks, Reviews, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products"
air fryer filet mignon,"Informational, Commercial",5400,"0.81,0.81,1.00,0.81,0.67,1.00,0.81,0.81,0.81,1.00,1.00,1.00",20,0.05,"Reviews, Image, Video, People also ask, Recipes, Related searches"
air fryer microwave,Commercial,5400,"0.82,0.82,0.55,0.55,0.82,0.82,0.82,0.67,0.67,0.67,1.00,0.55",32,0.34,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
air fryer reviews,Commercial,5400,"0.35,0.44,0.35,0.44,0.67,0.44,0.30,0.44,0.81,1.00,0.81,0.54",73,0.35,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Buying guide, Related searches, Popular products"
beautiful air fryer,Commercial,5400,"0.54,0.67,0.44,0.44,0.54,0.44,0.67,0.67,1.00,1.00,1.00,0.81",40,0.05,"Sitelinks, Reviews, Image, Video, Short videos, People also ask, Related searches, Popular products"
blackstone with air fryer,Commercial,5400,"0.36,0.54,0.66,1.00,0.66,0.36,0.29,0.19,0.23,0.29,0.19,0.15",26,0.18,"Sitelinks, Video, People also ask, Related searches, Popular products"
dash air fryer,"Informational, Transactional",5400,"0.67,0.54,0.67,0.67,1.00,0.79,0.79,0.67,1.00,1.00,0.79,0.67",27,0.18,"Reviews, Image, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products"
instant vortex plus air fryer,"Informational, Transactional",5400,"0.81,0.67,0.67,0.81,1.00,0.67,0.67,0.67,1.00,0.81,0.81,0.67",47,0.31,"Sitelinks, Reviews, Video, Short videos, People also ask, Knowledge panel, Related searches, Related products"
large air fryer,Commercial,5400,"1.00,0.81,0.54,0.30,0.44,0.35,0.54,0.44,0.81,0.67,0.81,0.54",54,0.25,"Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
ninja dual air fryer,"Informational, Transactional",5400,"0.44,0.36,0.44,0.44,0.44,0.54,0.44,0.44,1.00,0.81,0.66,0.54",50,0.26,"Image pack, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products"
parchment paper for air fryer,"Informational, Commercial",5400,"0.54,0.54,0.44,0.44,0.66,0.44,0.54,0.66,0.54,0.66,1.00,0.35",59,0.09,"Featured snippet, Sitelinks, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products"
air fryer accessories,Commercial,4400,"0.29,0.29,0.35,1.00,0.55,0.35,0.29,0.35,0.67,0.55,1.00,0.23",34,0.18,"Sitelinks, Image, Video, People also ask, Related searches, Popular products"
air fryer liner,Commercial,4400,"0.43,0.23,0.43,1.00,1.00,0.81,0.81,0.28,0.54,0.81,0.81,0.36",30,0.43,"Sitelinks, Image, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products"
air fryer recall,Commercial,4400,"1.00,0.19,0.06,0.00,0.00,0.00,0.00,0.00,0.81,0.00,0.00,0.13",32,0.00,"Reviews, Image pack, Video, People also ask, Top stories, Discussions and forums, Related searches, Things to know"
air fryer vs convection oven,"Informational, Commercial",4400,"0.83,0.66,0.66,0.66,0.83,0.66,0.66,0.66,1.00,1.00,1.00,0.66",50,0.03,"Sitelinks, AI Overview, Video, People also ask, Related searches"
air fryers on sale,Transactional,4400,"0.66,0.55,0.34,0.28,0.34,0.55,0.55,0.45,1.00,0.83,0.45,0.45",33,0.26,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products"
big boss air fryer,"Informational, Transactional",4400,"0.24,0.13,0.16,0.19,0.36,0.29,0.44,0.66,1.00,0.66,0.66,0.54",32,0.76,"Sitelinks, Reviews, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products"
breville air fryer oven,Commercial,4400,"0.54,0.43,0.54,0.43,0.67,0.54,0.43,0.67,1.00,1.00,0.81,0.81",61,0.45,"Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
farberware air fryer,"Informational, Transactional",4400,"1.00,0.84,0.68,1.00,0.53,0.84,0.84,0.68,1.00,0.84,0.84,0.68",24,0.34,"Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
filet mignon air fryer,"Informational, Commercial",4400,"1.00,0.67,0.53,0.67,0.67,0.82,0.53,0.53,1.00,1.00,0.82,0.53",21,0.05,"Sitelinks, Reviews, Image, Video, Short videos, People also ask, Recipes, Related searches"
instant air fryer,"Informational, Transactional",4400,"1.00,0.67,0.67,0.67,0.81,0.53,0.53,0.67,0.67,1.00,0.67,0.36",61,0.23,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products"
instapot air fryer,"Informational, Transactional",4400,"0.81,0.67,0.53,0.53,0.81,0.36,0.67,1.00,0.81,0.67,0.67,0.19",42,0.24,"Image, Video, People also ask, Recipes, Related searches"
ninja air fryers,Commercial,4400,"0.54,0.67,0.30,0.19,0.44,0.44,0.15,0.30,1.00,0.54,0.44,0.35",48,0.29,"Sitelinks, Image, Video, Short videos, People also ask, Related searches, Popular products"
pampered chef air fryer,"Informational, Transactional",4400,"0.81,0.81,0.63,0.63,0.81,0.81,0.63,0.63,1.00,0.81,1.00,0.81",29,0.18,"Image, Image pack, Video, People also ask, Related searches, Popular products"
target air fryer,"Navigational, Transactional",4400,"0.53,0.67,0.11,0.44,0.28,0.28,0.36,0.36,0.53,1.00,0.67,0.67",31,0.30,"Sitelinks, Image, Video, Related searches, Popular products"
air fryer parchment paper,Commercial,3600,"0.29,0.23,0.19,0.19,0.54,0.44,0.44,0.54,0.44,0.44,1.00,0.54",49,0.15,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products, Things to know"
air fryer sale,Transactional,3600,"0.55,0.55,0.66,0.55,0.66,0.55,0.55,0.55,1.00,1.00,0.66,0.55",37,0.26,"Image, Video carousel, People also ask, Discussions and forums, Related searches, Popular products"
air fryer stainless steel,Commercial,3600,"0.44,1.00,0.23,0.19,0.35,0.29,0.35,0.35,0.54,0.44,0.29,0.23",32,0.30,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products"
air fryers at walmart,"Navigational, Transactional",3600,"0.83,0.66,0.66,0.66,0.83,0.55,0.45,0.66,1.00,0.83,0.66,0.28",37,0.37,"Sitelinks, Image, Video, People also ask, Related searches, Popular products"
amazon air fryer,"Navigational, Transactional",3600,"0.55,0.55,0.66,0.45,0.83,1.00,0.55,0.55,1.00,0.83,0.55,0.55",34,0.29,"Reviews, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products"
breville toaster oven air fryer,"Informational, Transactional",3600,"0.55,0.36,0.36,0.44,0.55,0.44,0.55,0.55,1.00,0.82,0.82,0.55",60,0.47,"Video, People also ask, Knowledge panel, Related searches, Popular products"
convection oven vs air fryer,"Informational, Commercial",3600,"0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.00,1.00,1.00,1.00,0.82",58,0.03,"Featured snippet, Sitelinks, AI Overview, Video, People also ask, Related searches"
crux air fryer,"Informational, Transactional",3600,"0.67,0.53,0.53,0.33,1.00,0.67,0.81,0.81,0.44,0.81,0.81,0.53",34,0.19,"Image, Video, People also ask, Related searches, Popular products"
cuisinart toaster oven air fryer,"Informational, Transactional",3600,"0.50,0.81,0.44,0.44,0.50,0.50,0.50,0.63,1.00,0.81,0.50,0.44",44,0.33,"Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
good air fryer,Commercial,3600,"0.09,0.02,1.00,0.16,0.04,0.12,0.23,0.20,0.44,0.12,0.30,0.09",55,0.40,"Sitelinks, Image, Video, People also ask, Related searches, Popular products"
ninja air fryer recipes,"Informational, Transactional",3600,"0.44,0.35,0.44,0.44,0.54,0.44,0.35,0.35,0.35,0.67,1.00,0.44",27,0.05,"Image, Video, People also ask, Recipes, Related searches"
ninja grill air fryer,"Informational, Transactional",3600,"0.81,0.81,0.67,0.54,0.54,0.44,0.44,0.54,0.81,1.00,1.00,0.81",47,0.27,"Video, People also ask, Related searches, Popular products"
ninja toaster oven air fryer,"Informational, Transactional",3600,"0.53,0.44,0.53,0.44,0.44,0.53,0.53,0.67,1.00,1.00,0.81,0.67",37,0.27,"Sitelinks, Image pack, Video, Short videos, People also ask, Knowledge panel, Related searches, Popular products"
ribeye in air fryer,"Informational, Commercial",3600,"0.81,1.00,0.43,0.36,0.54,0.43,0.54,0.36,0.36,0.43,0.43,0.66",37,0.01,"Image, Image pack, Video, Short videos, People also ask, Recipes, Related searches"
air fryer amazon,"Navigational, Transactional",2900,"0.43,0.54,0.54,0.54,0.65,0.54,0.65,0.65,0.81,1.00,0.81,0.65",49,0.29,"Image, Video, People also ask, Related searches, Popular products"
air fryer basket,"Informational, Transactional",2900,"0.65,0.55,0.36,0.65,0.65,0.65,0.82,0.65,0.65,1.00,0.82,0.55",32,0.29,"Sitelinks, Image, Video, People also ask, Related searches, Popular products"
air fryer cookbook,Commercial,2900,"0.19,0.19,0.22,0.22,0.30,0.19,0.15,0.22,0.67,1.00,0.35,0.30",19,0.20,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products"
air fryer microwave combo,Commercial,2900,"0.65,0.65,0.55,0.55,0.65,0.82,0.65,0.65,1.00,1.00,0.82,0.65",39,0.34,"Sitelinks, Image, Video, People also ask, Related searches, Popular products"
air fryer near me,Transactional,2900,"0.52,0.80,0.52,0.66,0.66,0.66,0.80,0.66,0.66,1.00,0.80,0.80",42,0.66,"Sitelinks, Image, Video, People also ask, Knowledge panel, Related searches, Popular products"
air fryer on sale,Transactional,2900,"0.83,0.34,0.41,0.41,0.83,0.55,0.66,0.28,0.83,1.00,0.55,0.66",36,0.26,"Image, Image pack, Related searches, Popular products"
air fryer ribeye steak,"Informational, Commercial",2900,"0.42,0.42,0.55,0.55,0.65,0.65,1.00,0.55,0.65,0.82,0.82,0.82",42,0.01,"Image, Image pack, Video, People also ask, Recipes, Related searches"
air fryer toaster,Commercial,2900,"0.81,0.65,0.65,0.36,0.81,0.43,1.00,0.54,0.81,1.00,0.81,0.65",50,0.33,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products"
blackstone griddle with air fryer,Commercial,2900,"0.44,0.44,0.82,1.00,0.55,0.36,0.29,0.20,0.24,0.24,0.20,0.15",25,0.18,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products"
blackstone grill with air fryer,"Informational, Transactional",2900,"0.42,0.67,0.79,1.00,0.42,0.33,0.29,0.17,0.29,0.21,0.17,0.13",24,0.21,"Sitelinks, Image, Video, People also ask, Related searches, Popular products"
cheap air fryer,"Informational, Transactional",2900,"0.81,0.28,0.81,0.22,0.53,0.81,0.64,0.53,0.81,0.53,1.00,0.64",60,0.30,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products"
commercial air fryer,Commercial,2900,"1.00,0.80,0.80,0.80,0.80,1.00,0.80,0.80,0.80,0.67,1.00,0.80",24,0.67,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products"
cuisinart digital air fryer toaster oven,"Informational, Transactional",2900,"0.81,0.35,0.24,0.30,0.35,1.00,1.00,0.44,0.67,0.54,0.30,0.19",42,0.32,"Sitelinks, Video, People also ask, Knowledge panel, Related searches, Popular products"
double air fryer,Commercial,2900,"0.44,0.44,0.35,0.35,0.44,0.44,0.44,0.53,0.81,1.00,0.53,0.44",32,0.31,"Reviews, Image, Video, People also ask, Related searches, Popular products"
french door air fryer,"Informational, Transactional",2900,"0.44,0.44,0.35,0.35,0.35,0.44,0.35,0.44,1.00,1.00,0.54,0.54",24,0.31,"Sitelinks, Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
galanz microwave air fryer,"Informational, Transactional",2900,"0.80,0.80,0.67,0.67,0.80,0.80,0.53,0.53,1.00,1.00,0.80,0.80",37,0.15,"Reviews, Image, Video, People also ask, Related searches, Popular products"
gowise usa air fryer,"Informational, Commercial",2900,"0.79,0.79,0.79,0.67,0.79,0.67,0.67,0.67,0.79,0.79,1.00,0.79",26,0.18,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products, Things to know"
