Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features,Number of Results
coffee and espresso maker,Commercial,4400,"0.44,0.35,0.35,0.35,0.44,0.35,0.35,0.55,0.82,1.00,0.55,0.35",57,0.52,"Sitelinks, Reviews, Image, Video, Video carousel, People also ask, Related searches, Popular products, Things to know",68200000
keurig duo coffee maker,"Informational, Transactional",4400,"0.55,0.44,0.35,0.35,0.35,0.29,0.29,0.35,0.82,1.00,0.44,0.29",48,0.37,"Image pack, Video, People also ask, Knowledge panel, Related searches, Shopping ads",900000
krups coffee maker,"Informational, Transactional",4400,"0.81,0.81,0.44,0.81,0.67,0.44,0.67,0.81,1.00,1.00,1.00,0.53",35,0.31,"Image, Video, People also ask, Related searches, Popular products",6300000
ninja coffee maker with frother,"Informational, Transactional",4400,"0.23,0.23,0.28,0.28,0.36,0.23,0.36,0.36,0.67,1.00,0.67,0.54",37,0.32,"Image, Video, People also ask, Related searches, Popular products",1630000
oxo 8 cup coffee maker,"Informational, Transactional",4400,"0.67,0.67,1.00,0.54,0.42,0.29,0.29,0.29,0.42,0.42,0.33,0.29",30,0.47,"Sitelinks, Reviews, Image, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products",1470000
portable coffee maker,Commercial,4400,"0.54,0.54,0.66,0.54,0.66,0.81,0.81,0.66,1.00,0.81,0.81,0.81",37,0.71,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",199000000
spinn coffee maker,"Navigational, Transactional",4400,"0.79,0.79,0.79,0.79,0.79,0.67,0.54,0.67,1.00,0.79,0.54,0.42",52,0.59,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",78
stainless steel coffee maker,Commercial,4400,"0.23,0.29,0.23,0.23,0.36,0.36,0.36,0.44,0.44,1.00,0.66,0.54",29,0.37,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",63200000
4 cup coffee maker,Commercial,3600,"0.53,0.53,0.67,0.53,0.67,0.53,0.67,1.00,0.67,1.00,0.81,0.44",27,0.24,"Reviews, Image, Video, Related searches, Popular products",185000000
amazon coffee maker,"Navigational, Transactional",3600,"0.81,0.53,0.67,0.53,0.35,0.67,0.67,0.44,0.67,0.81,1.00,0.81",42,0.51,"Reviews, Image, Video, People also ask, Related searches, Popular products",90400000
beautiful coffee maker,Commercial,3600,"0.81,0.66,0.53,0.44,0.44,0.53,0.66,0.53,0.81,1.00,1.00,0.81",33,0.17,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",91
bunn commercial coffee maker,Commercial,3600,"0.44,0.44,0.35,0.29,0.35,0.54,0.29,0.29,1.00,0.35,0.54,0.44",28,1.74,"Image, Video, Short videos, People also ask, Related searches, Popular products, Things to know",822000
cafe coffee maker,"Informational, Transactional",3600,"0.82,0.82,0.65,0.82,0.65,0.65,0.65,0.82,1.00,1.00,0.82,0.65",42,0.37,"Sitelinks, Reviews, Image, Video, Explore brands, Related searches, Popular products",68200000
coffee grinder and maker,Commercial,3600,"0.10,0.44,0.81,0.81,0.44,0.16,1.00,0.13,0.24,0.13,0.10,0.10",37,0.36,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",26700000
coffee maker walmart,"Navigational, Transactional",3600,"0.30,0.66,0.52,0.43,0.66,0.66,0.66,0.66,0.82,1.00,0.52,0.66",38,0.14,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",26300000
cuban coffee maker,Commercial,3600,"0.44,0.66,0.53,0.66,0.53,0.66,0.81,1.00,0.81,1.00,0.66,0.53",31,0.21,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",92
cuisinart coffee maker manual,"Informational, Transactional",3600,"0.65,0.54,0.81,0.65,0.65,0.81,0.81,0.81,0.81,1.00,1.00,0.65",35,0.16,"Image, Image pack, Video, People also ask, Related searches",89
cusinart coffee maker,"Informational, Transactional",3600,"0.43,0.36,0.43,0.36,0.43,0.66,0.36,0.28,0.43,1.00,0.54,0.04",40,0.40,"Image, Video, People also ask, Related searches, Popular products",7460000
farberware coffee maker,Commercial,3600,"1.00,0.82,0.82,0.65,0.65,0.82,0.82,1.00,1.00,0.82,0.82,0.55",24,0.30,"Image, Image pack, Video, People also ask, Related searches, Popular products",77
k-cup coffee maker,"Informational, Transactional",3600,"0.29,0.08,0.24,0.18,0.44,0.82,0.24,0.18,1.00,0.18,0.44,0.24",61,0.34,"Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",68200000
keurig 2.0 coffee maker,"Informational, Transactional",3600,"1.00,0.82,0.82,0.82,0.82,0.65,0.65,0.65,0.82,0.82,0.82,0.82",27,0.32,"Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",1120000
keurig coffee maker walmart,"Informational, Transactional",3600,"0.55,0.43,0.55,0.55,0.55,0.27,0.66,0.66,0.66,1.00,0.43,0.55",36,0.23,"Image, Image pack, Video, People also ask, Related searches, Popular products",1900000
mr. coffee coffee maker,"Navigational, Transactional",3600,"0.81,0.22,0.67,1.00,1.00,0.53,0.17,0.67,0.44,0.33,0.67,1.00",39,0.20,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products",69900000
one cup coffee maker,Commercial,3600,"0.67,0.53,0.82,0.67,0.67,0.53,0.67,0.67,1.00,1.00,0.82,0.53",53,0.32,"Sitelinks, Image, Video, People also ask, Related searches, Popular products, Things to know",179000000
siphon coffee maker,"Informational, Commercial",3600,"0.82,0.66,0.66,0.55,0.55,0.55,0.82,0.82,0.82,1.00,0.82,0.55",39,0.23,"Sitelinks, Reviews, Image, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products, Things to know",1540000
stovetop coffee maker,Transactional,3600,"0.44,0.53,0.66,0.66,0.53,0.66,0.24,0.66,0.81,1.00,1.00,0.29",51,0.23,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",16900000
wolf coffee maker,Commercial,3600,"0.66,0.53,0.66,0.53,0.53,0.44,0.66,0.66,0.81,1.00,0.81,0.53",28,0.46,"Image, Video, People also ask, Related searches",15100000
12 cup coffee maker,"Informational, Transactional",2900,"0.81,0.65,0.65,0.65,0.65,0.54,0.65,0.65,0.81,0.81,1.00,0.65",57,0.28,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products, Things to know",125000000
5 cup coffee maker,"Informational, Transactional",2900,"0.82,0.65,0.65,0.55,0.55,0.65,0.65,0.65,0.82,1.00,0.65,0.55",13,0.24,"Reviews, Image, Video, People also ask, Related searches, Popular products",148000000
coffee maker keurig,"Informational, Transactional",2900,"0.45,0.45,0.45,0.34,0.45,0.45,0.45,0.66,0.83,1.00,0.66,0.45",56,0.45,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",11300000
coffee maker near me,Transactional,2900,"0.81,0.81,0.81,0.81,0.54,0.43,0.65,0.54,1.00,1.00,0.81,0.36",51,0.32,"Reviews, Image, Video, People also ask, Local pack, Related searches, Popular products",92
cuisinart coffee maker with grinder,"Informational, Transactional",2900,"0.81,0.65,0.65,0.65,0.54,0.65,0.54,0.54,0.81,1.00,0.65,0.54",32,0.31,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",1490000
dual coffee maker,Commercial,2900,"0.53,0.53,0.53,0.53,0.53,0.35,0.53,0.53,1.00,1.00,0.53,0.67",33,0.28,"Sitelinks, Reviews, Image, Video, Related searches, Popular products",54500000
espresso machine coffee maker,Transactional,2900,"0.81,0.65,0.65,0.54,0.43,0.43,0.65,0.65,0.29,1.00,1.00,0.04",58,0.71,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Buying guide, Related searches, Popular products",42000000
k cups coffee maker,"Informational, Transactional",2900,"1.00,0.19,0.44,0.19,0.23,0.29,0.10,0.19,0.29,0.54,0.16,0.00",61,0.34,"Reviews, Image, Video, People also ask, Related searches, Popular products, Things to know",43500000
keurig coffee maker sale,Transactional,2900,"0.24,0.35,0.35,0.53,0.24,0.29,0.35,0.66,0.81,1.00,0.81,0.44",50,0.43,"Image, Video, People also ask, Related searches, Popular products",3620000
kitchen aid coffee maker,"Informational, Transactional",2900,"0.36,1.00,0.36,0.28,0.54,0.15,0.19,0.36,0.36,0.54,0.54,0.07",30,0.27,"Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",18000000
kureg coffee maker,Commercial,2900,"0.12,0.07,0.00,0.00,0.00,0.44,1.00,0.66,0.54,0.81,0.54,0.05",56,0.51,"Image, Image pack, Video, People also ask, Related searches, Popular products, Things to know, Shopping ads",11300000
mr coffee ice tea maker,"Informational, Transactional",2900,"0.44,1.00,0.44,0.44,0.54,0.23,0.16,0.19,0.19,0.29,0.16,0.23",40,0.26,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",84
ninja specialty coffee maker,"Informational, Transactional",2900,"0.54,0.42,0.42,0.54,0.33,0.33,0.42,0.67,0.67,1.00,0.54,0.42",51,0.27,"Sitelinks, Video, People also ask, Knowledge panel, Related searches, Popular products",100
white coffee maker,"Informational, Transactional",2900,"0.82,0.82,0.55,0.65,0.65,0.65,0.65,0.82,1.00,0.82,0.65,0.65",13,0.35,"Image, Image pack, Video, Related searches, Popular products, Things to know",464000000
zojirushi coffee maker,"Informational, Transactional",2900,"0.67,0.80,0.80,0.53,0.53,0.67,0.67,0.67,1.00,0.80,0.80,0.80",18,0.28,"Image, Video, People also ask, Related searches, Popular products",1290000
bella coffee maker,"Informational, Transactional",2400,"0.43,0.43,0.36,0.36,0.54,0.36,0.36,0.54,0.54,1.00,0.81,0.54",26,0.23,"Reviews, Image, Image pack, Video, Related searches, Popular products",89
breville coffee maker with grinder,Commercial,2400,"0.44,0.52,0.52,0.44,0.66,0.66,0.66,0.66,0.80,1.00,0.66,0.52",38,0.34,"Image, Video, People also ask, Related searches, Popular products, Ads bottom",3280000
capresso coffee maker,"Informational, Transactional",2400,"0.83,0.66,0.66,0.66,0.66,0.83,0.66,0.83,1.00,0.83,0.83,0.55",26,0.25,"Image, Video, People also ask, Related searches, Popular products, Ads bottom",420000
coffee pot maker,Transactional,2400,"0.29,0.29,0.44,0.08,0.12,1.00,0.16,0.10,0.19,0.29,0.10,0.29",69,0.47,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",124000000
commercial coffee maker,Commercial,2400,"0.54,0.81,0.54,0.22,0.22,0.43,0.81,0.54,0.43,1.00,0.36,0.54",20,1.90,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",121000000
cuisinart 4 in 1 coffee maker,"Informational, Transactional",2400,"0.15,0.13,0.13,0.10,0.10,0.08,0.36,0.19,1.00,0.43,0.24,0.19",27,0.28,"Image, Video, Knowledge panel, Related searches, Popular products",7530000
cuisinart coffee maker filter,"Informational, Transactional",2400,"0.83,0.83,0.65,0.65,1.00,0.83,0.65,0.65,1.00,1.00,1.00,1.00",37,0.62,"Reviews, Image, Video, People also ask, Related searches, Popular products, Ads bottom",92
delonghi coffee maker,"Informational, Transactional",2400,"0.66,0.52,0.66,0.43,0.66,0.43,0.52,0.43,1.00,0.66,0.66,0.52",41,0.50,"Reviews, Image, Video, People also ask, Related searches, Popular products, Things to know",18700000
descale coffee maker,"Informational, Commercial",2400,"0.23,0.19,0.19,0.19,0.19,0.19,0.19,0.19,1.00,0.29,0.23,0.35",56,0.26,"Featured snippet, Reviews, Video, People also ask, Related searches, Popular products",3580000
espresso and coffee maker,Commercial,2400,"0.54,0.43,0.43,0.43,0.43,0.43,0.43,0.54,1.00,1.00,0.65,0.43",56,0.57,"Sitelinks, Reviews, Image, Video, Video carousel, People also ask, Related searches, Popular products",68100000
fancy coffee maker,Commercial,2400,"0.43,0.36,0.43,0.43,0.43,0.43,0.43,0.65,1.00,0.65,0.65,0.43",51,0.70,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",55000000
fellow coffee maker,Commercial,2400,"0.03,0.24,0.13,0.13,0.24,0.29,0.66,0.53,1.00,1.00,0.81,0.66",42,0.47,"Image, Video, Short videos, Discussions and forums, Related searches, Popular products, Shopping ads",17100000
gevalia coffee maker,"Informational, Transactional",2400,"1.00,0.83,0.83,1.00,1.00,0.83,0.66,0.66,0.83,1.00,1.00,0.83",37,0.39,"Reviews, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",75
keruig coffee maker,"Informational, Transactional",2400,"0.67,0.67,0.67,0.67,0.52,0.44,0.67,0.67,0.67,1.00,0.67,0.80",47,0.51,"Image, Video, People also ask, Related searches, Popular products, Things to know",11600000
keurig coffee maker amazon,"Informational, Transactional",2400,"1.00,0.83,0.25,0.65,0.65,0.65,0.65,1.00,0.55,0.65,1.00,0.20",33,0.56,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",3660000
