Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
large dog food storage container,"Informational, Transactional",1600,"0.68,0.68,0.68,0.68,0.84,0.68,0.84,0.84,1.00,0.68,0.84,0.84",30,0.41,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",94
plastic food storage containers with lids,"Informational, Transactional",1600,"0.20,0.27,0.27,0.44,0.52,0.36,0.20,0.16,0.66,1.00,0.80,0.44",61,0.58,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",152000000
pyrex food storage containers,"Informational, Transactional",1600,"0.44,0.34,0.55,0.44,0.44,0.55,0.55,0.44,0.82,0.82,1.00,0.08",49,0.29,1.00,"Image, Image pack, Video, People also ask, Related searches, Popular products",94
pyrex glass food storage containers,"Informational, Transactional",1600,"0.10,0.05,0.07,0.24,0.19,0.07,0.10,0.13,0.54,1.00,0.54,0.54",46,0.22,1.00,"Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",90
rubbermaid food storage containers,"Informational, Transactional",1600,"0.55,0.41,0.55,0.55,1.00,1.00,0.55,0.55,1.00,0.80,1.00,0.41",34,0.41,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",3000000
stainless steel food storage containers,"Informational, Transactional",1600,"0.55,0.55,0.44,0.55,0.55,1.00,0.55,0.55,0.55,0.82,0.55,0.20",32,0.52,1.00,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",60500000
cambro food storage containers,"Navigational, Transactional",1300,"0.24,0.24,0.13,0.27,0.20,0.20,0.27,0.27,1.00,0.36,0.80,0.27",25,0.83,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",85
disposable food storage containers,"Informational, Transactional",1300,"0.44,0.65,0.44,0.44,0.24,0.44,0.03,1.00,0.65,0.55,0.24,0.44",23,0.85,1.00,"Image, Image pack, Video, People also ask, Related searches, Popular products",30900000
food storage container set,"Informational, Transactional",1300,"0.68,0.46,0.52,0.52,0.46,0.68,0.37,0.52,0.84,0.84,1.00,0.68",63,0.39,1.00,"Reviews, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",374000000
food storage containers pyrex,"Informational, Transactional",1300,"0.00,0.00,0.02,0.02,0.04,0.08,0.00,0.00,0.00,1.00,0.00,0.01",64,0.29,1.00,"Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",4120000
ikea food storage containers,"Navigational, Transactional",1300,"0.55,0.62,0.55,1.00,0.62,0.81,0.62,0.55,0.81,0.81,1.00,1.00",36,0.15,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",15100000
pantry food storage containers,"Informational, Transactional",1300,"0.36,0.52,0.24,0.24,0.20,0.24,0.16,1.00,0.66,0.24,0.16,0.44",62,0.45,1.00,"Image, Image pack, Video, People also ask, Related searches, Popular products",68000000
air tight food storage containers,Transactional,1000,"0.00,0.00,0.45,0.20,0.65,0.83,0.34,0.20,0.45,0.65,1.00,0.00",61,0.41,1.00,"Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",18900000
cat food storage container,"Informational, Transactional",1000,"0.68,0.68,0.68,0.77,0.68,0.77,0.68,1.00,1.00,1.00,1.00,0.68",31,0.51,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",85
glad food storage containers,"Informational, Transactional",1000,"0.52,0.46,0.52,0.68,0.31,0.46,0.52,0.37,0.68,1.00,0.68,0.37",22,1.20,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",77
glass food storage container,"Informational, Transactional",1000,"0.62,1.00,0.55,0.82,0.45,0.15,0.45,0.82,0.62,1.00,0.55,0.30",57,0.41,1.00,"Reviews, Image, Video, Related searches, Popular products",178000000
glasslock food storage containers,Commercial,1000,"0.55,0.34,0.25,1.00,0.55,0.66,0.09,0.55,0.02,0.02,0.04,0.25",42,0.41,1.00,"Image, Image pack, Video, People also ask, Related searches, Popular products",75
large glass food storage containers,Transactional,1000,"0.31,0.31,0.31,0.37,0.25,0.46,0.68,0.68,0.52,1.00,0.84,0.68",35,0.50,1.00,"Reviews, Image, Image pack, Video, Related searches, Popular products",94
metal food storage containers,"Informational, Transactional",1000,"0.62,0.62,0.55,0.62,0.45,0.55,0.62,0.62,0.81,0.81,0.62,1.00",24,0.58,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",85200000
tupperware food storage containers,"Informational, Transactional",1000,"0.46,0.37,0.37,0.31,0.31,0.37,0.52,0.84,1.00,0.84,0.84,0.46",60,0.33,1.00,"Image, Image pack, Video, People also ask, Related searches, Popular products",12200000
bulk food storage containers,"Informational, Transactional",880,"0.56,0.56,0.56,0.36,0.56,0.67,0.67,0.75,1.00,0.56,0.67,1.00",46,1.46,1.00,"Sitelinks, Image, Video, Related searches, Popular products",51000000
food storage containers walmart,"Navigational, Transactional",880,"0.76,0.76,0.56,0.76,0.67,0.56,0.44,0.67,1.00,1.00,0.76,0.76",46,0.25,1.00,"Image, Image pack, Video, People also ask, Related searches, Popular products",23900000
food storage containers with lids glass,"Informational, Transactional",880,"1.00,0.82,0.13,0.44,0.00,0.00,0.00,0.02,0.08,0.13,0.13,0.11",47,0.39,1.00,"Sitelinks, Reviews, Image, Image pack, Video, Related searches, Popular products",280000000
glass containers for food storage,"Informational, Transactional",880,"0.30,1.00,0.37,0.56,0.56,0.77,1.00,0.20,0.77,0.77,0.77,0.77",67,0.41,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",398000000
ziploc food storage containers,"Informational, Transactional",880,"0.20,0.31,0.46,0.37,0.37,0.46,0.31,0.37,0.84,1.00,0.68,0.25",35,1.27,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",85
amazon food storage containers,"Informational, Transactional",720,"0.72,0.72,0.72,0.59,0.72,0.59,1.00,0.72,0.88,0.88,1.00,0.59",51,0.34,1.00,"Image, Video, People also ask, Related searches, Popular products",59500000
ceramic food storage containers,"Informational, Transactional",720,"0.45,0.36,0.30,0.36,0.36,0.55,0.36,0.55,0.76,0.67,1.00,0.67",28,0.47,1.00,"Image, Image pack, Video, People also ask, Related searches, Popular products",91
collapsible food storage containers,"Informational, Transactional",720,"0.67,0.67,0.54,0.82,1.00,0.67,0.82,0.54,0.82,0.82,0.67,0.36",16,0.37,1.00,"Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products, Shopping ads",92
dry food storage containers,"Informational, Transactional",720,"0.88,0.73,0.49,0.73,0.73,0.73,0.88,1.00,0.73,0.73,0.73,0.73",54,0.48,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",107000000
food storage containers dog,Transactional,720,"0.17,0.30,0.13,0.09,0.09,0.22,0.09,0.22,1.00,0.35,0.30,0.65",34,0.45,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",41200000
food storage containers oxo,"Navigational, Transactional",720,"0.45,0.55,0.55,0.36,0.08,0.06,0.36,0.67,0.76,1.00,0.55,0.13",29,0.33,1.00,"Reviews, Image, Image pack, Video, Discussions and forums, Related searches, Popular products, Things to know",4480000
non toxic food storage containers,Commercial,720,"0.30,0.30,0.24,0.24,0.30,0.30,0.55,0.62,0.45,0.62,1.00,0.45",31,0.90,1.00,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",25200000
plastic food storage container,"Informational, Transactional",720,"0.16,1.00,0.08,0.07,0.66,0.03,0.13,0.08,0.79,0.36,0.07,0.36",64,0.62,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, People also search, Popular products",204000000
silicone food storage containers,Commercial,720,"0.30,0.30,0.30,0.62,0.36,0.45,0.36,0.45,0.62,0.81,1.00,0.45",20,0.50,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",22900000
small food storage containers,"Informational, Transactional",720,"0.81,0.81,0.67,0.81,1.00,1.00,0.54,0.81,1.00,0.81,0.81,0.54",49,0.56,1.00,"Image, Image pack, Video, People also ask, Related searches, People also search, Popular products",193000000
stackable food storage containers,"Informational, Transactional",720,"0.45,0.45,0.45,0.45,0.67,1.00,0.45,0.45,1.00,0.55,0.55,0.45",62,0.62,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",8810000
storage containers with lids for food,"Informational, Transactional",720,"0.88,0.72,0.48,0.88,1.00,0.59,0.88,0.32,0.39,0.72,1.00,0.88",58,0.50,1.00,"Sitelinks, Reviews, Image, Image pack, Video, Related searches, People also search, Popular products",256000000
storage food containers,"Informational, Transactional",720,"0.10,0.08,0.08,0.00,0.02,0.10,0.08,0.20,0.02,1.00,0.05,0.00",61,0.56,1.00,"Image, Video, Buying guide, Related searches, People also search, Popular products",265000000
airtight pet food storage container,Commercial,590,"0.54,0.54,0.54,0.54,0.81,1.00,0.67,0.67,0.81,0.29,0.81,0.81",37,0.41,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products, Shopping ads",97
baby food storage containers,"Informational, Transactional",590,"0.44,0.82,0.82,0.65,0.82,0.36,0.65,0.82,1.00,0.82,1.00,0.65",20,0.00,0.00,"Sitelinks, Reviews, Image, Video, Discussions and forums, Related searches, Popular products",98600000
bpa free food storage containers,"Informational, Transactional",590,"0.32,0.32,0.32,0.72,0.88,0.39,0.88,0.88,0.59,0.59,1.00,0.72",24,0.98,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",7230000
flour food storage containers,"Informational, Transactional",590,"0.68,0.52,0.46,0.52,0.09,0.03,0.13,0.38,0.09,0.16,0.13,1.00",24,0.46,1.00,"Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",25900000
food storage containers for rice,Commercial,590,"0.08,0.08,0.11,0.16,0.65,1.00,0.04,0.07,0.07,0.07,0.08,0.07",47,0.36,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",53200000
food storage containers plastic,"Informational, Transactional",590,"0.01,0.00,0.01,0.03,0.04,0.03,0.03,1.00,0.03,0.05,0.00,0.13",62,0.62,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",72800000
food storage containers set,"Informational, Transactional",590,"0.59,0.26,0.48,0.48,0.72,0.39,0.26,0.59,0.88,0.72,1.00,1.00",64,0.39,1.00,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",192000000
food storage glass containers,"Informational, Transactional",590,"0.13,0.19,0.55,0.08,0.24,0.15,1.00,0.62,0.37,0.44,0.55,0.01",58,0.41,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",288000000
glass containers with lids for food storage,"Informational, Transactional",590,"0.16,1.00,0.30,0.12,0.05,0.02,0.07,0.23,0.12,0.02,0.07,0.07",43,0.39,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",132000000
glass lid food storage containers,Commercial,590,"1.00,0.55,0.03,0.13,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00",30,0.39,1.00,"Sitelinks, Reviews, Image, Image pack, Video, Discussions and forums, Related searches, Popular products, Shopping ads",53200000
glass storage containers for food,"Informational, Transactional",590,"0.30,0.30,0.30,0.37,0.37,0.19,0.30,0.44,0.76,0.76,1.00,1.00",59,0.41,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, People also search, Popular products",132000000
hefty food storage containers,Commercial,590,"0.67,0.83,0.67,0.56,0.67,0.67,0.56,0.56,0.83,0.83,1.00,0.67",25,0.41,1.00,"Image, Image pack, Video, People also ask, Related searches, Popular products, Shopping ads",73
hot food storage containers,"Informational, Transactional",590,"0.72,0.26,0.72,0.72,0.17,0.11,0.48,0.48,0.59,1.00,0.59,0.72",46,0.43,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, People also search, Popular products",122000000
large food storage containers with lids,"Informational, Transactional",590,"0.83,0.83,0.67,0.67,0.83,0.83,0.83,0.83,0.83,0.83,1.00,0.54",46,0.69,1.00,"Reviews, Image, Image pack, Video, Related searches, People also search, Popular products",97
long term food storage containers,Commercial,590,"0.49,0.39,0.32,0.32,0.88,1.00,0.49,0.59,0.73,0.39,0.49,0.59",15,1.24,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",73100000
metal dog food storage container,"Informational, Transactional",590,"0.54,0.54,0.67,0.67,0.67,0.82,0.67,1.00,0.54,0.82,0.54,0.67",21,0.40,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",87
pantry glass food storage containers,"Informational, Transactional",590,"0.39,0.59,0.59,0.47,0.59,1.00,0.59,0.72,0.39,0.88,0.17,0.72",20,0.48,1.00,"Image, Image pack, Video, People also ask, Related searches, Popular products",17400000
pyrex food storage container,"Informational, Transactional",590,"0.02,0.13,0.08,0.02,0.04,0.08,0.00,0.02,1.00,0.79,0.41,0.07",37,0.29,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",2690000
stainless steel food storage containers with lids,"Informational, Transactional",590,"0.39,0.59,0.48,0.32,0.72,0.72,0.39,0.48,0.59,0.72,1.00,0.72",38,0.54,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",94
40 lb dog food storage container,"Informational, Transactional",480,"0.66,0.54,0.66,0.66,0.81,0.66,1.00,0.81,0.54,0.44,0.66,0.54",17,0.35,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",82
commercial food storage containers,"Informational, Transactional",480,"0.66,0.54,0.44,0.44,0.66,0.54,0.54,0.66,1.00,0.54,0.54,0.54",21,1.52,1.00,"Reviews, Image, Image pack, Video, Related searches, Popular products",79500000
dollar tree food storage containers,"Informational, Transactional",480,"0.81,0.66,1.00,0.66,1.00,0.81,0.66,0.81,1.00,0.81,1.00,0.66",30,0.02,1.00,"Sitelinks, Image, Video, Related searches, Popular products",10400000
food grade storage containers,"Informational, Transactional",480,"0.67,0.54,0.36,0.44,0.54,0.67,0.67,0.82,0.82,0.67,1.00,1.00",22,0.00,0.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",62500000
food stackable storage containers,"Informational, Transactional",480,"0.26,0.26,0.32,0.32,1.00,1.00,0.26,0.32,0.32,0.59,0.14,0.09",32,0.62,1.00,"Reviews, Image, Image pack, Video carousel, Related searches, Popular products",14600000
food storage containers for pantry,Transactional,480,"0.65,0.44,0.44,0.55,0.55,1.00,0.44,0.55,0.15,0.18,0.65,0.24",56,0.45,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",34800000
food storage containers for vegetables,"Informational, Transactional",480,"0.29,0.44,0.67,0.81,1.00,1.00,0.29,0.44,0.29,0.67,0.00,0.00",46,0.34,1.00,"Reviews, Image, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products",57600000
good food storage containers,Commercial,480,"0.76,0.67,1.00,0.00,0.02,0.67,0.24,0.20,0.30,0.67,0.00,0.16",63,0.34,1.00,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products",136000000
rubbermaid brilliance food storage containers,Commercial,480,"0.44,0.24,0.36,0.44,0.44,0.55,0.65,0.44,0.29,1.00,0.82,0.29",44,0.25,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products, Shopping ads",407000
rubbermaid glass food storage containers,"Informational, Transactional",480,"0.54,0.66,0.66,0.54,0.36,0.54,0.44,0.54,1.00,0.81,1.00,0.44",27,0.22,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products, Shopping ads",1850000
shop food storage containers,Commercial,480,"0.17,0.17,0.32,0.32,0.72,0.72,0.39,0.59,0.32,0.32,1.00,0.26",57,0.61,1.00,"Image, Image pack, People also ask, Related searches, Popular products",162000000
stackable glass food storage containers,Commercial,480,"0.13,0.13,0.13,0.20,0.13,0.16,0.24,0.20,0.36,0.55,1.00,0.20",33,0.38,1.00,"Sitelinks, Reviews, Video, People also ask, Related searches, Popular products",87
storage containers food,"Informational, Transactional",480,"0.67,0.67,0.36,0.54,0.36,0.83,0.67,0.54,0.44,1.00,0.54,0.05",64,0.56,1.00,"Image, Video, People also ask, Buying guide, Related searches, Popular products, Ads bottom",270000000
storage containers for food,Commercial,480,"0.47,0.53,0.47,0.33,0.27,0.20,0.27,0.53,0.07,0.53,1.00,0.47",60,0.56,1.00,"Image, Video, Buying guide, Related searches, Popular products",290000000
vegetable food storage containers,"Informational, Transactional",480,"0.29,0.44,0.67,0.81,1.00,1.00,0.29,0.44,0.29,0.67,0.00,0.00",45,0.34,1.00,"Image, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products",42900000
21 cup dry food storage container,"Informational, Transactional",390,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",20,0.00,0.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",26300000
airtight dog food container storage,Transactional,390,"0.29,0.29,0.23,0.12,1.00,0.81,0.29,0.12,0.54,0.54,0.67,0.29",31,0.43,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",1890000
airtight food storage container,"Informational, Transactional",390,"0.08,0.03,0.13,0.03,0.05,0.02,1.00,0.05,0.05,0.04,0.04,0.11",57,0.41,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, People also search, Popular products",58000000
airtight glass food storage containers,Commercial,390,"0.36,0.44,0.36,0.36,0.44,0.54,1.00,0.66,0.66,0.66,0.81,0.66",46,0.45,1.00,"Image, Video, People also ask, Discussions and forums, Related searches, Popular products, Shopping ads",11200000
better homes and gardens food storage containers,Commercial,390,"0.54,0.54,0.44,0.54,0.44,0.67,0.54,0.67,0.67,1.00,0.81,0.54",23,0.18,1.00,"Image, Image pack, Video, People also ask, Related searches, Popular products",62
cambro food storage container,"Informational, Transactional",390,"0.32,0.39,0.32,0.32,0.32,0.09,0.04,0.39,1.00,0.59,0.48,0.48",30,0.83,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",94
cereal food storage containers,Commercial,390,"1.00,0.76,0.06,0.55,0.05,0.00,0.01,0.10,0.03,0.03,0.08,0.06",10,0.33,1.00,"Reviews, Image, Image pack, Video, Discussions and forums, Related searches, Popular products, Shopping ads",22600000
divided food storage containers,"Informational, Transactional",390,"0.81,0.28,0.81,0.81,0.81,1.00,0.66,0.81,0.54,0.54,0.81,0.44",20,0.30,1.00,"Image, Image pack, Video, People also ask, Related searches, Popular products",73
dog food storage container 40 lbs,"Informational, Transactional",390,"0.66,0.66,0.08,0.66,1.00,0.81,0.54,0.54,0.54,0.44,0.81,0.54",21,0.35,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products, Shopping ads",66
food containers storage,"Informational, Transactional",390,"0.31,0.50,0.25,0.19,0.50,0.31,0.13,0.06,1.00,0.81,0.81,0.13",63,0.56,1.00,"Sitelinks, Image pack, Video carousel, People also ask, Knowledge panel, Buying guide, Related searches, Popular products",260000000
food storage containers for flour and sugar,Commercial,390,"0.66,0.44,0.44,0.36,0.36,0.44,0.54,0.44,0.66,1.00,0.81,0.12",38,0.33,1.00,"Image, Video, People also ask, Related searches, Popular products",17700000
food storage containers glass,"Informational, Transactional",390,"0.20,0.20,0.16,0.16,0.20,0.20,0.20,0.30,0.30,1.00,0.56,0.37",56,0.41,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",250000000
food storage containers target,"Navigational, Transactional",390,"0.36,0.12,0.15,0.19,0.54,0.44,0.19,0.29,0.54,1.00,0.81,0.67",39,0.28,1.00,"Sitelinks, Image, Video, Related searches, Popular products",43300000
