Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features,Number of Results
stand mixer attachments,Commercial,1900,"0.29,0.29,0.24,0.24,0.35,0.29,0.35,0.29,0.44,1.00,0.66,0.29",47,0.15,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",31100000
stand mixer food grinder,"Informational, Transactional",1900,"1.00,0.80,0.80,0.60,0.40,0.60,0.60,0.60,0.40,0.40,0.40,0.20",34,0.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",11200000
stand mixer pasta press,"Informational, Transactional",1900,"1.00,0.80,0.80,0.70,0.40,0.50,0.50,0.50,0.40,0.40,0.30,0.00",51,0.00,"Reviews, Image pack, Video, People also ask, Related searches, Popular products",4160000
stand up mixer,Commercial,1900,"0.29,0.24,0.24,0.18,0.18,0.24,0.29,0.29,0.82,1.00,0.44,0.29",61,0.27,"Image, Video, People also ask, Related searches, Popular products",157000000
drew barrymore stand mixer,"Informational, Transactional",1600,"0.10,0.08,0.07,0.07,0.07,0.08,0.24,0.24,0.66,1.00,0.36,0.24",30,0.11,"Sitelinks, Image pack, Video, People also ask, Knowledge panel, Related searches, Popular products, Shopping ads",42
kitchenaid tilt head stand mixer,"Navigational, Transactional",1600,"0.20,0.20,0.30,0.16,0.22,0.22,0.30,0.30,0.81,1.00,0.36,0.30",40,0.33,"Image, Video, People also ask, Related searches, Popular products, Things to know",3250000
stand mixer sale,Transactional,1600,"0.23,0.08,0.10,0.16,0.07,0.07,0.12,0.10,0.19,1.00,0.19,0.12",29,0.29,"Image, Video, People also ask, Related searches, Popular products",78400000
standing electric mixer,"Informational, Transactional",1600,"0.37,0.00,0.05,0.00,0.00,0.21,0.00,0.21,1.00,0.68,0.42,0.00",63,0.24,"Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products",38000000
sunbeam mixmaster stand mixer,Commercial,1600,"0.55,0.45,0.45,0.45,0.55,0.34,0.45,0.55,1.00,1.00,0.83,0.25",34,0.22,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",58
sunbeam stand mixer,Commercial,1600,"0.24,0.36,0.36,0.36,0.27,0.36,0.36,0.44,0.80,1.00,0.52,0.36",35,0.22,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products, Things to know",90
ankarsrum stand mixer clean dough roller shaft seal,"Informational, Transactional",1300,"1.00,0.00,0.00,0.00",13,0.00,"Image, Video, People also ask, Related searches",16
beautiful stand mixer,Commercial,1300,"0.13,0.13,0.13,0.04,0.10,0.10,0.20,0.29,0.54,1.00,0.54,0.29",41,0.12,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products, Shopping ads",91
kitchenaid bowl lift stand mixer,"Informational, Commercial",1300,"0.45,0.45,0.45,0.19,0.25,0.25,0.34,0.45,1.00,1.00,0.45,0.45",42,0.31,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",1470000
kitchenaid refurbished stand mixer,Transactional,1300,"0.34,0.55,0.24,0.30,0.30,0.30,0.30,0.34,1.00,0.34,1.00,0.24",39,0.82,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",533000
kitchenaid stand mixer bowl,"Informational, Transactional",1300,"0.30,0.54,0.41,0.30,0.41,0.24,1.00,0.54,1.00,0.41,0.54,0.41",30,0.15,"Image, Video, People also ask, Related searches, Popular products",18200000
smeg stand mixer,"Navigational, Transactional",1300,"0.41,0.36,0.36,0.30,0.36,0.79,0.54,0.54,0.66,1.00,0.66,0.41",26,0.23,"Sitelinks, Image, Video, Related searches, Popular products",2080000
stand mixer black friday,Commercial,1300,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.20,0.01,0.00",39,0.34,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",18900000
stand mixer walmart,"Informational, Transactional",1300,"0.36,0.36,0.55,0.55,0.36,0.24,0.55,0.41,1.00,0.79,0.55,0.36",33,0.20,"Image, Video, People also ask, Related searches, Popular products",6450000
breville stand mixer,"Navigational, Transactional",1000,"0.46,0.46,0.46,0.52,0.46,0.46,0.46,0.52,1.00,1.00,0.52,0.52",40,0.15,"Reviews, Image, Video, Related searches",2010000
commercial stand mixer,"Informational, Transactional",1000,"0.56,0.56,0.56,0.56,1.00,0.77,0.56,0.56,1.00,1.00,0.77,1.00",23,0.83,"Image, Video, Related searches, Popular products",39200000
dash stand mixer,"Informational, Transactional",1000,"0.16,0.20,0.13,0.13,0.13,0.13,0.13,0.27,0.66,1.00,0.27,0.16",26,0.19,"Reviews, Image, Video, People also ask, Related searches, Popular products",8020000
farberware stand mixer,Commercial,1000,"0.61,0.61,0.61,0.61,0.45,0.45,0.82,0.55,0.61,1.00,1.00,0.61",26,0.18,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",74
kitchen stand mixer,Commercial,1000,"0.37,0.30,0.30,0.30,0.37,0.37,0.37,0.37,0.84,1.00,0.51,0.47",63,0.35,"Image, Image pack, Video, People also ask, Related searches, Popular products, Things to know",76200000
kitchenaid artisan 10-speed stand mixer - hearth,"Informational, Transactional",1000,"1.00,0.00,0.00,0.00",27,0.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",63
kitchenaid artisan 5 qt stand mixer,"Informational, Transactional",1000,"0.25,0.25,0.04,0.16,0.16,0.16,0.27,0.27,0.53,1.00,0.36,0.20",40,0.71,"Image pack, Video, People also ask, Knowledge panel, Discussions and forums, Related searches",1270000
kitchenaid artisan 5 quart stand mixer,"Informational, Transactional",1000,"0.20,0.25,0.20,0.12,0.11,0.05,0.34,0.34,0.83,1.00,0.34,0.08",41,0.71,"Sitelinks, Reviews, Image pack, Video, People also ask, Knowledge panel, Related searches",1270000
kitchenaid kitchenaid artisan stand mixer,"Informational, Transactional",1000,"0.24,0.66,0.54,0.66,0.79,1.00,0.30,0.24,0.30,0.54,0.10,0.03",60,0.35,"Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",3440000
kitchenaid stand mixer 5.5 quart,"Informational, Transactional",1000,"0.20,0.20,0.20,0.11,0.12,0.15,0.12,0.15,0.08,1.00,0.08,0.15",50,0.41,"Sitelinks, Reviews, Image pack, Video, People also ask, Knowledge panel, Related searches, Popular products",458000
kitchenaid stand mixer ice cream attachment,"Informational, Transactional",1000,"0.16,0.27,0.36,0.20,1.00,0.24,0.13,0.13,0.36,0.36,0.16,0.20",47,0.20,"Sitelinks, Image pack, Video, People also ask, Knowledge panel, Related searches, Popular products",2260000
kitchenaid stand mixer meat grinder,"Informational, Transactional",1000,"0.20,0.34,0.44,0.08,0.24,0.24,0.34,0.24,1.00,0.55,0.20,0.65",49,0.22,"Sitelinks, Image, Image pack, Video, Short videos, People also ask, Related searches, Popular products",1590000
kitchenaid stand mixer meat grinder attachment,"Informational, Transactional",1000,"0.19,0.28,0.24,0.28,0.24,0.35,1.00,0.35,0.07,0.28,0.09,0.04",48,0.24,"Sitelinks, Image pack, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products",673000
kitchenaid standing mixer,"Informational, Transactional",1000,"1.00,0.33,0.29,0.17,0.54,0.17,0.13,0.21,0.33,0.42,0.29,0.21",71,0.35,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",32300000
kitchenaid ultra power stand mixer,"Informational, Commercial",1000,"0.46,0.31,0.46,0.37,0.25,0.31,0.46,0.46,0.68,1.00,0.68,0.52",26,0.30,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",21200000
mixer stand,"Informational, Transactional",1000,"0.21,0.16,0.16,0.16,0.16,0.21,0.16,0.21,0.42,1.00,0.42,0.42",56,0.24,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",207000000
stand mixer wooden bowl,"Informational, Commercial",1000,"0.69,0.69,0.85,0.69,0.85,0.85,1.00,0.04,0.19,0.31,0.13,0.06",41,0.31,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches",28200000
top rated stand mixer,Commercial,1000,"0.37,0.68,0.31,0.04,1.00,0.37,0.31,0.68,1.00,0.37,0.46,0.08",55,0.33,"Sitelinks, Reviews, Image, Video, People also ask, Related searches",133000000
black friday stand mixer,Commercial,880,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,1.00,0.23,0.01,0.01",32,0.34,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",18800000
cheap stand mixer,Commercial,880,"0.37,0.25,0.31,0.31,0.31,0.25,0.31,0.37,0.84,1.00,0.52,0.31",45,0.25,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",88
farberware stand mixer attachments,Commercial,880,"0.37,0.44,0.44,0.30,0.30,0.37,0.55,0.44,0.81,1.00,0.62,0.30",32,0.28,"Sitelinks, Image, Video, People also ask, Related searches",47
kenwood stand mixer,"Informational, Transactional",880,"0.31,0.46,0.37,0.31,0.31,0.37,0.37,0.52,0.84,1.00,0.52,0.52",19,0.22,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, People also search, Popular products, Shopping ads",4150000
kitchen aid stand mixer attachments,"Informational, Transactional",880,"0.05,1.00,0.05,0.02,1.00,0.05,0.80,0.05,0.55,0.41,0.07,0.18",57,0.18,"Sitelinks, Image, Video, People also ask, Related searches, Popular products, Shopping ads",9590000
kitchen aid stand mixer sale,Transactional,880,"0.09,0.08,0.09,0.13,0.19,0.19,0.30,0.30,1.00,0.66,0.45,0.25",51,0.40,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",86
kitchen aid standing mixer,"Informational, Transactional",880,"1.00,0.04,0.42,0.04,0.00,0.00,0.04,0.04,0.13,0.13,0.04,0.04",63,0.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",26100000
kitchenaid - 5.5 quart bowl-lift stand mixer,"Informational, Transactional",880,"0.00,0.00,0.00,0.10,0.13,0.01,0.18,0.24,0.03,1.00,0.16,0.01",57,0.60,"Sitelinks, Video, People also ask, Knowledge panel, Related searches, Popular products",96
kitchenaid attachments for stand mixer,Commercial,880,"0.30,0.15,0.19,0.08,0.19,0.15,0.15,0.19,0.45,1.00,0.45,0.00",49,0.18,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",4150000
kitchenaid evergreen stand mixer,"Informational, Transactional",880,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.13,0.16,0.44,0.07,0.01",44,0.48,"Sitelinks, Video, Short videos, People also ask, Knowledge panel, Related searches, Shopping ads",171000
kitchenaid stand mixer attachment,"Informational, Transactional",880,"0.83,0.51,1.00,0.11,0.46,0.83,0.11,0.11,0.46,0.37,0.23,0.09",53,0.18,"Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",12600000
kitchenaid stand mixer deals,"Informational, Transactional",880,"0.01,0.00,0.01,0.00,0.01,0.01,0.01,0.02,1.00,0.23,0.08,0.01",44,0.42,"Image, Image pack, Video, People also ask, Related searches, Popular products",24300000
kitchenaid stand mixer parts,"Navigational, Transactional",880,"0.79,0.16,0.13,0.13,0.10,0.13,0.13,0.13,0.20,0.41,1.00,0.67",23,0.42,"Image, Image pack, Video, Related searches",4200000
stand mixer for cakes,"Informational, Transactional",880,"0.05,0.55,0.44,0.55,0.44,0.55,0.16,0.34,0.20,0.44,0.00,1.00",50,0.20,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",9170000
artisan kitchenaid stand mixer,"Informational, Transactional",720,"0.20,0.01,0.24,0.05,0.03,0.07,0.04,0.20,0.27,1.00,0.20,0.05",60,0.39,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",4670000
artisan mini stand mixer,"Informational, Transactional",720,"0.67,0.45,0.36,0.36,0.36,0.45,0.36,0.55,0.55,1.00,0.36,0.76",37,0.29,"Sitelinks, Reviews, Image pack, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products, Shopping ads",87
aucma stand mixer,"Informational, Transactional",720,"0.45,0.36,0.36,0.36,0.36,0.24,0.24,0.36,0.55,1.00,0.36,0.55",27,0.22,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Knowledge panel, Related searches, Popular products, Shopping ads",54
aucma stand mixer 6.5-quart,"Informational, Transactional",720,"0.30,1.00,0.00,0.00",28,0.00,"Reviews, Image, Image pack, Video, People also ask, Knowledge panel, Discussions and forums, Popular products",91
copper kitchenaid stand mixer,"Informational, Transactional",720,"0.81,0.30,0.20,0.16,0.36,0.16,1.00,0.55,0.62,0.55,0.24,0.81",40,0.39,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",1070000
ge stand mixer,"Informational, Transactional",720,"0.56,0.37,0.67,0.44,0.37,0.37,0.30,0.37,1.00,0.76,0.44,0.30",40,0.50,"Reviews, Image, Video, People also ask, Discussions and forums, Related searches, People also search, Popular products",7360000
kitchain aid stand mixer,Commercial,720,"0.84,0.84,0.67,0.67,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",59,0.00,"Image, Video, People also ask, Discussions and forums, Related searches, Popular products",25600000
kitchen aid tilt head stand mixer,"Informational, Transactional",720,"0.24,0.01,0.20,0.20,0.20,0.20,0.29,0.02,0.67,1.00,0.54,0.01",45,0.33,"Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products",3180000
kitchen aid's 2024 evergreen tilt-head stand mixer,"Informational, Transactional",720,"0.76,0.76,0.76,0.55,0.76,0.76,1.00,0.00,0.00,0.00,0.00,0.00",22,0.33,"Sitelinks, Reviews, Image pack, Video, People also ask, Knowledge panel, Related searches, Shopping ads",56
kitchenaid 6 quart bowl lift stand mixer,"Informational, Transactional",720,"0.31,0.69,0.25,0.46,0.10,0.10,0.19,1.00,0.85,0.19,0.10,0.02",45,0.47,"Sitelinks, Reviews, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products",707000
kitchenaid 6qt bowl lift stand mixer,"Informational, Transactional",720,"0.52,0.00,0.00,0.00,0.25,0.25,0.16,0.52,1.00,0.84,0.46,0.03",43,0.47,"Reviews, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products, Shopping ads",318000
kitchenaid accessories stand mixer,"Informational, Transactional",720,"0.20,1.00,1.00,0.76,0.24,0.76,0.45,0.55,0.30,1.00,0.20,0.05",50,0.18,"Image, Image pack, Video, People also ask, Related searches, Popular products",11200000
kitchenaid artisan mini stand mixer,"Informational, Transactional",720,"0.36,0.36,0.24,0.30,0.45,0.11,0.30,0.36,1.00,1.00,0.06,0.12",41,0.27,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search",4820000
kitchenaid stand mixer bowl lift,Commercial,720,"0.10,0.04,0.03,0.02,0.10,0.08,0.04,0.13,1.00,0.20,0.36,0.02",36,0.31,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",1440000
kitchenaid stand mixer bowl-lift,"Informational, Transactional",720,"0.37,0.47,0.47,0.23,0.37,0.37,0.30,0.37,0.00,1.00,0.09,0.84",29,0.31,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, People also search, Popular products, Shopping ads",1540000
kitchenaid stand mixer colors,Commercial,720,"0.20,0.16,1.00,0.67,0.55,0.55,1.00,0.45,0.24,0.76,0.67,1.00",44,0.23,"Image, Image pack, Video, People also ask, Related searches, Popular products",1780000
kitchenaid stand mixer food processor attachment,"Informational, Transactional",720,"0.80,0.24,1.00,0.29,0.29,0.44,0.36,0.36,0.29,0.29,0.36,0.02",48,0.20,"Sitelinks, Image pack, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products",4550000
kitchenaid stand mixer second hand,Transactional,720,"0.30,0.45,0.45,0.45,0.45,0.55,0.36,0.55,0.24,0.81,0.10,1.00",35,0.10,"Sitelinks, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",3190000
stand mixer cabinet lift,"Informational, Transactional",720,"0.59,0.72,0.39,0.47,0.39,0.59,0.59,0.72,1.00,1.00,0.88,0.72",24,0.34,"Sitelinks, Image, Image pack, Video, Short videos, People also ask, Related searches, Popular products",97
stand mixer kitchenaid recipes,"Informational, Transactional",720,"0.37,0.37,0.37,0.25,0.37,0.25,0.20,0.37,0.16,1.00,0.11,0.68",33,0.19,"Sitelinks, Image, Image pack, Video, People also ask, Recipes, Discussions and forums, Related searches",2770000
stand mixer reviews,Commercial,720,"0.20,0.16,0.10,0.10,0.20,0.20,0.13,0.20,1.00,0.66,0.30,0.30",43,0.32,"Sitelinks, Reviews, Image, Video, People also ask, Related searches",75500000
5 qt kitchenaid stand mixer,"Informational, Transactional",590,"0.05,0.02,0.09,0.02,0.04,0.24,0.54,0.41,0.13,1.00,0.54,0.29",54,0.34,"Reviews, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products, Shopping ads",1860000
5.5 qt kitchenaid stand mixer,"Informational, Transactional",590,"0.24,0.05,0.07,0.13,0.16,0.04,0.03,0.07,0.02,1.00,0.07,0.05",37,0.41,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",517000
affordable stand mixer,Commercial,590,"0.36,0.30,0.30,0.30,0.30,0.24,0.45,0.45,1.00,0.76,0.36,0.36",48,0.25,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",9920000
ankarsrum original stand mixer,"Informational, Transactional",590,"0.16,0.13,0.08,0.08,0.08,0.37,0.20,0.37,1.00,0.68,0.37,0.25",31,0.46,"Sitelinks, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products, Shopping ads",239000
cuisinart 5.5 quart stand mixer,"Informational, Transactional",590,"0.20,0.25,0.20,0.20,0.25,0.25,0.16,0.25,0.46,1.00,0.37,0.25",27,0.27,"Image, Image pack, Video, Short videos, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products, Shopping ads",245000
kitchen aid stand mixer accessories,"Informational, Transactional",590,"0.20,0.16,0.20,0.46,0.20,0.13,0.16,0.20,0.68,1.00,0.46,0.31",50,0.14,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",21300000
kitchenaid 5.5 quart stand mixer,"Informational, Transactional",590,"0.54,0.33,0.33,0.13,0.04,0.42,0.33,0.79,0.21,1.00,0.29,0.79",40,0.41,"Sitelinks, Reviews, Image pack, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products, Shopping ads",385000
kitchenaid accessories for stand mixer,"Informational, Transactional",590,"1.00,0.82,0.02,0.00,0.36,0.45,0.08,0.55,0.15,0.11,0.08,0.45",46,0.18,"Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",3910000
kitchenaid artisan series 5 qt stand mixer,"Informational, Transactional",590,"0.30,0.20,0.24,0.16,0.20,0.16,0.30,0.36,0.62,1.00,0.36,0.24",27,0.71,"Reviews, Image pack, Video, People also ask, Knowledge panel, Related searches",1200000
